"","drug","model.id","response_type","value"
"489","TAXOL","M35.1.F46","AUC","120.7453"
"490","TAXOL","M35.1.F46","survival","69.0000"
"491","WATER","M5.1.F47","mRECIST","PR"
"492","WATER","M5.1.F47","best.average.response","-43.7500"
"493","WATER","M5.1.F47","slope","-4.5101"
"494","WATER","M5.1.F47","AUC","2.2857"
"495","WATER","M5.1.F47","survival","188.0000"
"496","CFI-400945","M15.1.F47","mRECIST","PR"
"497","CFI-400945","M15.1.F47","best.average.response","-63.1869"
"498","CFI-400945","M15.1.F47","slope","-69.2312"
"499","CFI-400945","M15.1.F47","AUC","39.9666"
"500","CFI-400945","M15.1.F47","survival","118.0000"
"501","CARBOPLATIN","M25.1.F47","mRECIST","SD"
