"","drug","model.id","response_type","value"
"114","TAXOL + CFI-402257","M15.1.F9","AUC","98.6933"
"115","TAXOL + CFI-402257","M15.1.F9","survival","23.0000"
"116","TAXOL + CFI-402257","M16.2.F9","mRECIST","CR"
"117","TAXOL + CFI-402257","M16.2.F9","best.average.response","-41.3655"
"118","TAXOL + CFI-402257","M16.2.F9","slope","-62.1633"
"119","TAXOL + CFI-402257","M16.2.F9","AUC","51.9804"
"120","TAXOL + CFI-402257","M16.2.F9","survival","91.0000"
"121","CFI-402257","M5.1.F11","mRECIST","PR"
"122","CFI-402257","M5.1.F11","best.average.response","-39.7631"
"123","CFI-402257","M5.1.F11","slope","-72.4868"
"124","CFI-402257","M5.1.F11","AUC","159.5627"
"125","CFI-402257","M5.1.F11","survival","223.0000"
"126","CX5461 VEHICLE","M15.1.F11","mRECIST","SD"
"127","CX5461 VEHICLE","M15.1.F11","best.average.response","-11.1567"
"128","CX5461 VEHICLE","M15.1.F11","slope","73.4122"
"129","CX5461 VEHICLE","M15.1.F11","AUC","229.0474"
"130","CX5461 VEHICLE","M15.1.F11","survival","104.0000"
"131","CX5461","M25.1.F11","mRECIST","PR"
"132","CX5461","M25.1.F11","best.average.response","-27.8508"
"133","CX5461","M25.1.F11","slope","-6.5166"
"134","CX5461","M25.1.F11","AUC","253.9197"
"135","CX5461","M25.1.F11","survival","35.0000"
"136","TAXOL VEHICLE","M5.1.F12","mRECIST","PD"
"137","TAXOL VEHICLE","M5.1.F12","best.average.response","29.1633"
"138","TAXOL VEHICLE","M5.1.F12","slope","87.6905"
"139","TAXOL VEHICLE","M5.1.F12","AUC","666.4110"
"140","TAXOL VEHICLE","M5.1.F12","survival","52.0000"
"141","TAXOL + CFI-402257","M15.1.F12","mRECIST","CR"
"142","TAXOL + CFI-402257","M15.1.F12","best.average.response","-80.7587"
"143","TAXOL + CFI-402257","M15.1.F12","slope","-77.7724"
"144","TAXOL + CFI-402257","M15.1.F12","AUC","25.5368"
"145","TAXOL + CFI-402257","M15.1.F12","survival","220.0000"
"146","TAXOL + CFI-402257","M16.2.F12","mRECIST","CR"
"147","TAXOL + CFI-402257","M16.2.F12","best.average.response","-82.7415"
"148","TAXOL + CFI-402257","M16.2.F12","slope","-71.1125"
"149","TAXOL + CFI-402257","M16.2.F12","AUC","14.0071"
"150","TAXOL + CFI-402257","M16.2.F12","survival","109.0000"
"151","TAXOL","M25.1.F12","mRECIST","CR"
"152","TAXOL","M25.1.F12","best.average.response","-77.7568"
"153","TAXOL","M25.1.F12","slope","-72.4718"
"154","TAXOL","M25.1.F12","AUC","21.1982"
"155","TAXOL","M25.1.F12","survival","191.0000"
