"","X-0933","X-0988","X-0992","X-1027","X-1055","X-1119","X-1167","X-1173","X-1210","X-1234","X-1256","X-1270","X-1290","X-1303","X-1310","X-1329","X-1333","X-1402","X-1441","X-1443","X-1479","X-1500","X-1536","X-1538","X-1855","X-2145","X-2182","X-2239","X-2374","X-2403","X-2483","X-2484","X-2514","X-2538","X-2573","X-2659","X-2761","X-2822","X-2846","X-2861","X-3093","X-3205","X-3224","X-3267","X-3671","X-3684","X-3792","X-4087","X-4145","X-5238","X-5254","X-5405","X-5421","X-5438","X-5446","X-5494","X-5495","X-5536","X-5578"
"5FU","X.0933.5FFU","","","X.1027.5FFU","X.1055.5FFU","X.1119.5FFU","X.1167.5FFU","X.1173.5FFU","","","","X.1270.5FFU","X.1290.5FFU","X.1303.5FFU","","X.1329.5FFU","","","X.1441.5FFU","X.1443.5FFU","X.1479.5FFU","X.1500.5FFU","X.1536.5FFU","","X.1855.5FFU","X.2145.5FFU","X.2182.5FFU","X.2239.5FFU","X.2374.5FFU","X.2403.5FFU","X.2483.5FFU","X.2484.5FFU","","X.2538.5FFU","X.2573.5FFU","X.2659.5FFU","","X.2822.5FFU","X.2846.5FFU","X.2861.5FFU","X.3093.5FFU","X.3205.5FFU","X.3224.5FFU","X.3267.5FFU","X.3671.5FFU","","X.3792.5FFU","X.4087.5FFU","","","X.5254.5FFU","X.5405.5FFU","","X.5438.5FFU","X.5446.5FFU","X.5494.5FFU","X.5495.5FFU","","X.5578.5FFU"
"binimetinib","X.0933.biib","","","X.1027.biib","X.1055.biib","X.1119.biib","X.1167.biib","X.1173.biib","","","","X.1270.biib","X.1290.biib","X.1303.biib","","X.1329.biib","","","X.1441.biib","X.1443.biib","X.1479.biib","X.1500.biib","X.1536.biib","","X.1855.biib","X.2145.biib","X.2182.biib","X.2239.biib","X.2374.biib","X.2403.biib","X.2483.biib","X.2484.biib","","X.2538.biib","X.2573.biib","X.2659.biib","","X.2822.biib","X.2846.biib","X.2861.biib","X.3093.biib","X.3205.biib","X.3224.biib","X.3267.biib","X.3671.biib","","X.3792.biib","X.4087.biib","X.4145.biib","","X.5254.biib","X.5405.biib","","X.5438.biib","X.5446.biib","X.5494.biib","X.5495.biib","","X.5578.biib"
"BKM120","X.0933.BK20","","","X.1027.BK20","X.1055.BK20","X.1119.BK20","X.1167.BK20","X.1173.BK20","","","","X.1270.BK20","X.1290.BK20","X.1303.BK20","","X.1329.BK20","","","X.1441.BK20","X.1443.BK20","X.1479.BK20","X.1500.BK20","X.1536.BK20","","X.1855.BK20","X.2145.BK20","X.2182.BK20","","X.2374.BK20","X.2403.BK20","X.2483.BK20","X.2484.BK20","","X.2538.BK20","X.2573.BK20","X.2659.BK20","","X.2822.BK20","X.2846.BK20","X.2861.BK20","X.3093.BK20","X.3205.BK20","X.3224.BK20","X.3267.BK20","","","X.3792.BK20","X.4087.BK20","X.4145.BK20","","X.5254.BK20","X.5405.BK20","","X.5438.BK20","X.5446.BK20","X.5494.BK20","X.5495.BK20","","X.5578.BK20"
"BKM120 + LJC049","X.0933.BK20.LJ49","","","X.1027.BK20.LJ49","X.1055.BK20.LJ49","X.1119.BK20.LJ49","X.1167.BK20.LJ49","X.1173.BK20.LJ49","","","","X.1270.BK20.LJ49","X.1290.BK20.LJ49","","","X.1329.BK20.LJ49","","","X.1441.BK20.LJ49","X.1443.BK20.LJ49","X.1479.BK20.LJ49","X.1500.BK20.LJ49","X.1536.BK20.LJ49","","X.1855.BK20.LJ49","X.2145.BK20.LJ49","X.2182.BK20.LJ49","X.2239.BK20.LJ49","X.2374.BK20.LJ49","X.2403.BK20.LJ49","X.2483.BK20.LJ49","X.2484.BK20.LJ49","","X.2538.BK20.LJ49","X.2573.BK20.LJ49","X.2659.BK20.LJ49","","X.2822.BK20.LJ49","X.2846.BK20.LJ49","X.2861.BK20.LJ49","X.3093.BK20.LJ49","X.3205.BK20.LJ49","X.3224.BK20.LJ49","X.3267.BK20.LJ49","","","X.3792.BK20.LJ49","X.4087.BK20.LJ49","","","X.5254.BK20.LJ49","X.5405.BK20.LJ49","","X.5438.BK20.LJ49","X.5446.BK20.LJ49","X.5494.BK20.LJ49","X.5495.BK20.LJ49","","X.5578.BK20.LJ49"
"BYL719","X.0933.BY19","","","X.1027.BY19","X.1055.BY19","X.1119.BY19","X.1167.BY19","X.1173.BY19","","","","X.1270.BY19","X.1290.BY19","X.1303.BY19","","X.1329.BY19","","","X.1441.BY19","X.1443.BY19","X.1479.BY19","X.1500.BY19","X.1536.BY19","X.1538.BY19","X.1855.BY19","X.2145.BY19","X.2182.BY19","X.2239.BY19","X.2374.BY19","X.2403.BY19","X.2483.BY19","X.2484.BY19","","X.2538.BY19","X.2573.BY19","X.2659.BY19","","X.2822.BY19","X.2846.BY19","X.2861.BY19","X.3093.BY19","X.3205.BY19","X.3224.BY19","X.3267.BY19","","","X.3792.BY19","X.4087.BY19","X.4145.BY19","","X.5254.BY19","X.5405.BY19","","X.5438.BY19","X.5446.BY19","X.5494.BY19","X.5495.BY19","","X.5578.BY19"
"BYL719 + binimetinib","X.0933.BY19.biib","","","X.1027.BY19.biib","X.1055.BY19.biib","X.1119.BY19.biib","X.1167.BY19.biib","X.1173.BY19.biib","","","","X.1270.BY19.biib","X.1290.BY19.biib","X.1303.BY19.biib","","X.1329.BY19.biib","","","X.1441.BY19.biib","X.1443.BY19.biib","X.1479.BY19.biib","X.1500.BY19.biib","X.1536.BY19.biib","X.1538.BY19.biib","X.1855.BY19.biib","X.2145.BY19.biib","X.2182.BY19.biib","X.2239.BY19.biib","X.2374.BY19.biib","X.2403.BY19.biib","X.2483.BY19.biib","X.2484.BY19.biib","","X.2538.BY19.biib","X.2573.BY19.biib","X.2659.BY19.biib","","X.2822.BY19.biib","X.2846.BY19.biib","X.2861.BY19.biib","X.3093.BY19.biib","X.3205.BY19.biib","X.3224.BY19.biib","X.3267.BY19.biib","","","X.3792.BY19.biib","X.4087.BY19.biib","","","X.5254.BY19.biib","X.5405.BY19.biib","","X.5438.BY19.biib","X.5446.BY19.biib","X.5494.BY19.biib","X.5495.BY19.biib","","X.5578.BY19.biib"
"BYL719 + cetuximab","X.0933.BY19.ceab","","","X.1027.BY19.ceab","X.1055.BY19.ceab","X.1119.BY19.ceab","X.1167.BY19.ceab","X.1173.BY19.ceab","","","","X.1270.BY19.ceab","X.1290.BY19.ceab","X.1303.BY19.ceab","","X.1329.BY19.ceab","","","X.1441.BY19.ceab","X.1443.BY19.ceab","X.1479.BY19.ceab","X.1500.BY19.ceab","X.1536.BY19.ceab","","X.1855.BY19.ceab","X.2145.BY19.ceab","X.2182.BY19.ceab","X.2239.BY19.ceab","X.2374.BY19.ceab","X.2403.BY19.ceab","X.2483.BY19.ceab","X.2484.BY19.ceab","","X.2538.BY19.ceab","X.2573.BY19.ceab","X.2659.BY19.ceab","","X.2822.BY19.ceab","X.2846.BY19.ceab","X.2861.BY19.ceab","X.3093.BY19.ceab","X.3205.BY19.ceab","X.3224.BY19.ceab","X.3267.BY19.ceab","","","X.3792.BY19.ceab","X.4087.BY19.ceab","","","X.5254.BY19.ceab","X.5405.BY19.ceab","","X.5438.BY19.ceab","X.5446.BY19.ceab","","X.5495.BY19.ceab","","X.5578.BY19.ceab"
"BYL719 + cetuximab + encorafenib","X.0933.BY19.ceab.enib","","","X.1027.BY19.ceab.enib","X.1055.BY19.ceab.enib","X.1119.BY19.ceab.enib","X.1167.BY19.ceab.enib","X.1173.BY19.ceab.enib","","","","X.1270.BY19.ceab.enib","X.1290.BY19.ceab.enib","X.1303.BY19.ceab.enib","","X.1329.BY19.ceab.enib","","","X.1441.BY19.ceab.enib","X.1443.BY19.ceab.enib","X.1479.BY19.ceab.enib","X.1500.BY19.ceab.enib","X.1536.BY19.ceab.enib","","X.1855.BY19.ceab.enib","X.2145.BY19.ceab.enib","X.2182.BY19.ceab.enib","X.2239.BY19.ceab.enib","X.2374.BY19.ceab.enib","X.2403.BY19.ceab.enib","X.2483.BY19.ceab.enib","X.2484.BY19.ceab.enib","","X.2538.BY19.ceab.enib","X.2573.BY19.ceab.enib","X.2659.BY19.ceab.enib","","X.2822.BY19.ceab.enib","X.2846.BY19.ceab.enib","X.2861.BY19.ceab.enib","X.3093.BY19.ceab.enib","X.3205.BY19.ceab.enib","X.3224.BY19.ceab.enib","X.3267.BY19.ceab.enib","","","X.3792.BY19.ceab.enib","X.4087.BY19.ceab.enib","","","X.5254.BY19.ceab.enib","X.5405.BY19.ceab.enib","","X.5438.BY19.ceab.enib","X.5446.BY19.ceab.enib","X.5494.BY19.ceab.enib","X.5495.BY19.ceab.enib","","X.5578.BY19.ceab.enib"
"BYL719 + encorafenib","X.0933.BY19.enib","","","X.1027.BY19.enib","X.1055.BY19.enib","X.1119.BY19.enib","X.1167.BY19.enib","X.1173.BY19.enib","","","","X.1270.BY19.enib","X.1290.BY19.enib","","","X.1329.BY19.enib","","","X.1441.BY19.enib","X.1443.BY19.enib","X.1479.BY19.enib","X.1500.BY19.enib","X.1536.BY19.enib","","X.1855.BY19.enib","X.2145.BY19.enib","X.2182.BY19.enib","X.2239.BY19.enib","X.2374.BY19.enib","X.2403.BY19.enib","X.2483.BY19.enib","X.2484.BY19.enib","","X.2538.BY19.enib","X.2573.BY19.enib","X.2659.BY19.enib","","X.2822.BY19.enib","X.2846.BY19.enib","X.2861.BY19.enib","X.3093.BY19.enib","X.3205.BY19.enib","X.3224.BY19.enib","X.3267.BY19.enib","","","X.3792.BY19.enib","X.4087.BY19.enib","","","X.5254.BY19.enib","X.5405.BY19.enib","","X.5438.BY19.enib","X.5446.BY19.enib","X.5494.BY19.enib","X.5495.BY19.enib","","X.5578.BY19.enib"
"BYL719 + LJM716","X.0933.BY19.LJ16","","","X.1027.BY19.LJ16","X.1055.BY19.LJ16","X.1119.BY19.LJ16","X.1167.BY19.LJ16","X.1173.BY19.LJ16","","","","X.1270.BY19.LJ16","X.1290.BY19.LJ16","X.1303.BY19.LJ16","","X.1329.BY19.LJ16","","","X.1441.BY19.LJ16","X.1443.BY19.LJ16","X.1479.BY19.LJ16","X.1500.BY19.LJ16","X.1536.BY19.LJ16","","X.1855.BY19.LJ16","X.2145.BY19.LJ16","X.2182.BY19.LJ16","","X.2374.BY19.LJ16","X.2403.BY19.LJ16","X.2483.BY19.LJ16","X.2484.BY19.LJ16","","X.2538.BY19.LJ16","X.2573.BY19.LJ16","X.2659.BY19.LJ16","","X.2822.BY19.LJ16","X.2846.BY19.LJ16","X.2861.BY19.LJ16","X.3093.BY19.LJ16","X.3205.BY19.LJ16","X.3224.BY19.LJ16","X.3267.BY19.LJ16","","","X.3792.BY19.LJ16","X.4087.BY19.LJ16","X.4145.BY19.LJ16","","X.5254.BY19.LJ16","X.5405.BY19.LJ16","","X.5438.BY19.LJ16","X.5446.BY19.LJ16","X.5494.BY19.LJ16","X.5495.BY19.LJ16","","X.5578.BY19.LJ16"
