id,model_id,sequencing_uid,mDataType
14071,6443,198,mutation
14072,6444,198,mutation
14073,6445,198,mutation
14074,6446,198,mutation
14075,6447,198,mutation
14076,6448,198,mutation
14077,6449,198,mutation
14078,6450,198,mutation
14079,6451,199,mutation
14080,6452,199,mutation
14081,6453,199,mutation
14082,6454,199,mutation
14083,6455,199,mutation
14084,6456,199,mutation
14085,6457,199,mutation
14086,6458,199,mutation
14087,6459,199,mutation
14088,6460,199,mutation
14089,6461,199,mutation
14090,6462,199,mutation
14091,6463,199,mutation
14092,6464,199,mutation
14093,6465,200,mutation
14094,6466,200,mutation
14095,6467,200,mutation
14096,6468,200,mutation
14097,6469,200,mutation
14098,6470,200,mutation
14099,6471,200,mutation
14100,6472,200,mutation
14101,6473,200,mutation
14102,6474,200,mutation
14103,6475,200,mutation
14104,6476,200,mutation
14105,6477,201,mutation
14106,6478,201,mutation
14107,6479,201,mutation
14108,6480,201,mutation
14109,6481,201,mutation
14110,6482,201,mutation
14111,6483,201,mutation
14112,6484,201,mutation
14113,6485,201,mutation
14114,6486,201,mutation
14115,6487,201,mutation
14116,6488,201,mutation
14117,6489,202,mutation
14118,6490,202,mutation
14119,6491,202,mutation
14120,6492,202,mutation
14121,6493,202,mutation
14122,6494,202,mutation
14123,6495,202,mutation
14124,6496,202,mutation
14125,6497,202,mutation
14126,6498,202,mutation
14127,6499,202,mutation
