"","model.id","biobase.id","mDataType"
"X6E6","M6.2.F101","REF022","RNASeq"
"X15E46","M15.1.F101","REF022","RNASeq"
"X25E18","M25.1.F101","REF022","RNASeq"
"X35E12","M35.1.F101","REF022","RNASeq"
"X45E4","M45.1.F101","REF022","RNASeq"
"X55E4","M55.1.F101","REF022","RNASeq"
"X5E79","M5.1.F103","REF003","RNASeq"
"X25E20","M25.1.F103","REF003","RNASeq"
"X35E13","M35.1.F103","REF003","RNASeq"
"X5E80","M5.1.F104",NA,"RNASeq"
"X15E49","M15.1.F104",NA,"RNASeq"
"X5E81","M5.1.F106","73230","RNASeq"
"X15E50","M15.1.F106","73230","RNASeq"
"X5E85","M5.1.F110","REF009","RNASeq"
"X15E52","M15.2.F110","REF009","RNASeq"
"X16E5","M16.3.F110","REF009","RNASeq"
"X25E22","M25.1.F110","REF009","RNASeq"
"X5E87","M5.1.F112","REF016","RNASeq"
"X25E23","M25.1.F112","REF016","RNASeq"
"X45E5","M45.1.F112","REF016","RNASeq"
"X5E88","M5.1.F113","REF009","RNASeq"
"X15E54","M15.1.F113","REF009","RNASeq"
"X5E89","M5.1.F114","NOTCH06_PM","RNASeq"
"X5E92","M5.1.F117",NA,"RNASeq"
"X15E55","M15.1.F118",NA,"RNASeq"
"X25E24","M25.1.F118",NA,"RNASeq"
"X5E93","M5.1.F119",NA,"RNASeq"
"X15E56","M15.1.F121",NA,"RNASeq"
"X5E95","M5.1.F122","REF002","RNASeq"
"X15E57","M15.2.F122","REF002","RNASeq"
"X25E25","M25.1.F122","REF002","RNASeq"
"X35E14","M35.1.F122","REF002","RNASeq"
"X45E6","M45.1.F122","REF002","RNASeq"
"X5E97","M5.1.F125","REF010","RNASeq"
"X5E98","M5.1.F126",NA,"RNASeq"
"X25E26","M25.1.F126",NA,"RNASeq"
"X35E15","M35.1.F126",NA,"RNASeq"
"X5E100","M5.1.F128",NA,"RNASeq"
"X5E102","M5.1.F130","73263","RNASeq"
"X5E103","M5.1.F131","REF010","RNASeq"
"X5E104","M5.1.F134","NOTCH1_P4","RNASeq"
"X5E105","M5.1.F136",NA,"RNASeq"
"X25E28","M25.1.F136",NA,"RNASeq"
"X35E17","M35.1.F136",NA,"RNASeq"
"X5E106","M5.1.F138","REF009","RNASeq"
"X5E107","M5.1.F139","241417","RNASeq"
"X15E62","M15.1.F139","241417","RNASeq"
"X5E108","M5.1.F141","44205_S1","RNASeq"
"X15E63","M15.1.F141","44205_S1","RNASeq"
"X5E110","M5.1.F143","47904","RNASeq"
"X5E112","M5.1.F146",NA,"RNASeq"
"X15E65","M15.1.F146",NA,"RNASeq"
"X25E30","M25.1.F146",NA,"RNASeq"
"X35E18","M35.1.F146",NA,"RNASeq"
"X45E8","M45.1.F146",NA,"RNASeq"
"X5E113","M5.1.F147","73263","RNASeq"
"X15E66","M15.1.F147","73263","RNASeq"
"X25E31","M25.1.F147","73263","RNASeq"
"X35E19","M35.1.F147","73263","RNASeq"
"X5E114","M5.1.F148","70620","RNASeq"
"X5E118","M5.1.F154","44205_S1","RNASeq"
"X15E68","M15.1.F154","44205_S1","RNASeq"
"X5E120","M5.1.F156","73263","RNASeq"
"X15E69","M15.1.F156","73263","RNASeq"
"X5E121","M5.1.F157","73230","RNASeq"
"X5E122","M5.1.F158","48041","RNASeq"
"X5E123","M5.1.F159","47904","RNASeq"
"X15E70","M15.1.F159","47904","RNASeq"
"X5E124","M5.1.F160",NA,"RNASeq"
"X15E71","M15.1.F160",NA,"RNASeq"
"X25E32","M25.1.F160",NA,"RNASeq"
"X26E2","M26.2.F160",NA,"RNASeq"
"X5E125","M5.1.F161",NA,"RNASeq"
"X15E72","M15.1.F161",NA,"RNASeq"
"X5E127","M5.1.F163","REF002","RNASeq"
"X5E128","M5.1.F164","NOTCH1_P4","RNASeq"
"X15E74","M15.1.F164","NOTCH1_P4","RNASeq"
"X25E33","M25.1.F164","NOTCH1_P4","RNASeq"
"X5E129","M5.1.F165","73263","RNASeq"
"X15E75","M15.1.F165","73263","RNASeq"
"X25E34","M25.1.F165","73263","RNASeq"
"X5E130","M5.1.F166","73230","RNASeq"
"X15E76","M15.1.F166","73230","RNASeq"
"X25E35","M25.1.F166","73230","RNASeq"
"X35E20","M35.1.F166","73230","RNASeq"
"X5E132","M5.1.F169",NA,"RNASeq"
"X15E78","M15.1.F169",NA,"RNASeq"
"X5E136","M5.1.F174","REF010","RNASeq"
"X5E137","M5.1.F176",NA,"RNASeq"
"X5E138","M5.1.F177","REF005","RNASeq"
"X5E139","M5.1.F178","73230","RNASeq"
"X15E80","M15.1.F178","73230","RNASeq"
"X5E140","M5.1.F179","68941","RNASeq"
"X15E81","M15.2.F179","68941","RNASeq"
"X25E36","M25.1.F179","68941","RNASeq"
"X5E141","M5.1.F180",NA,"RNASeq"
"X5E143","M5.1.F182",NA,"RNASeq"
"X15E82","M15.1.F182",NA,"RNASeq"
"X5E144","M5.1.F183",NA,"RNASeq"
"X5E145","M5.1.F184","73230","RNASeq"
"X15E84","M15.1.F184","73230","RNASeq"
"X5E148","M5.1.F188","73230","RNASeq"
"X15E87","M15.2.F188","73230","RNASeq"
"X25E37","M25.1.F188","73230","RNASeq"
"X35E21","M35.1.F188","73230","RNASeq"
"X45E10","M45.1.F188","73230","RNASeq"
"X5E149","M5.1.F189","48041","RNASeq"
"X5E150","M5.1.F191","48041","RNASeq"
"X5E151","M5.1.F192",NA,"RNASeq"
"X15E88","M15.1.F192",NA,"RNASeq"
"X25E38","M25.1.F192",NA,"RNASeq"
"X35E22","M35.1.F192",NA,"RNASeq"
"X5E152","M5.1.F193",NA,"RNASeq"
"X15E89","M15.1.F193",NA,"RNASeq"
"X5E154","M5.1.F195","NOTCH06_PM","RNASeq"
"X5E155","M5.1.F196","73263","RNASeq"
"X5E156","M5.1.F197","73230","RNASeq"
"X15E90","M15.2.F197","73230","RNASeq"
"X25E39","M25.1.F197","73230","RNASeq"
"X35E23","M35.1.F197","73230","RNASeq"
"X45E11","M45.1.F197","73230","RNASeq"
"X5E157","M5.1.F198","71335","RNASeq"
"X15E91","M15.2.F198","71335","RNASeq"
"X25E40","M25.1.F198","71335","RNASeq"
"X26E3","M26.2.F198","71335","RNASeq"
"X5E158","M5.1.F199","70620","RNASeq"
"X5E159","M5.1.F200",NA,"RNASeq"
"X5E160","M5.1.F201","REF010","RNASeq"
"X5E162","M5.1.F205","REF022","RNASeq"
"X15E92","M15.1.F205","REF022","RNASeq"
"X5E163","M5.1.F207","48041","RNASeq"
"X5E164","M5.1.F208","69196","RNASeq"
"X5E165","M5.1.F209","INS-B-019","RNASeq"
"X15E93","M15.1.F209","INS-B-019","RNASeq"
"X5E166","M5.1.F210","73230","RNASeq"
"X15E94","M15.2.F210","73230","RNASeq"
"X25E41","M25.1.F210","73230","RNASeq"
"X5E168","M5.1.F212",NA,"RNASeq"
"X5E169","M5.1.F213","INS-B-019","RNASeq"
"X15E96","M15.1.F213","INS-B-019","RNASeq"
"X5E170","M5.1.F214",NA,"RNASeq"
"X15E97","M15.1.F214",NA,"RNASeq"
"X5E171","M5.1.F215","73230","RNASeq"
"X15E98","M15.1.F215","73230","RNASeq"
"X25E43","M25.1.F215","73230","RNASeq"
"X35E24","M35.1.F215","73230","RNASeq"
"X45E12","M45.1.F215","73230","RNASeq"
"X15E99","M15.1.F216",NA,"RNASeq"
