"","model.id","biobase.id","mDataType"
"X5E348","M5.1.F415","REF007","RNASeq"
"X5E349","M5.1.F416","69196","RNASeq"
"X5E350","M5.1.F417","66817","RNASeq"
"X15E210","M15.1.F417","66817","RNASeq"
"X25E92","M25.1.F417","66817","RNASeq"
"X5E352","M5.1.F419","REF016","RNASeq"
"X15E212","M15.1.F419","REF016","RNASeq"
"X5E353","M5.1.F420","REF016","RNASeq"
"X15E213","M15.1.F420","REF016","RNASeq"
"X25E93","M25.1.F420","REF016","RNASeq"
"X35E56","M35.1.F420","REF016","RNASeq"
"X45E29","M45.1.F420","REF016","RNASeq"
"X5E354","M5.1.F421","70620","RNASeq"
"X15E214","M15.1.F421","70620","RNASeq"
"X5E355","M5.1.F422","73471","RNASeq"
"X15E215","M15.1.F422","73471","RNASeq"
"X25E94","M25.1.F422","73471","RNASeq"
"X35E57","M35.1.F422","73471","RNASeq"
"X5E356","M5.1.F423","NOTCH06_PM","RNASeq"
"X15E216","M15.1.F423","NOTCH06_PM","RNASeq"
"X16E14","M16.2.F423","NOTCH06_PM","RNASeq"
"X5E357","M5.1.F426","NOTCH1_P4","RNASeq"
"X15E217","M15.1.F426","NOTCH1_P4","RNASeq"
"X5E358","M5.1.F427","73471","RNASeq"
"X15E218","M15.1.F427","73471","RNASeq"
"X16E15","M16.2.F427","73471","RNASeq"
"X25E95","M25.1.F427","73471","RNASeq"
"X5E359","M5.1.F428","REF002","RNASeq"
"X15E219","M15.1.F428","REF002","RNASeq"
"X25E96","M25.1.F428","REF002","RNASeq"
"X26E12","M26.2.F428","REF002","RNASeq"
"X35E58","M35.1.F428","REF002","RNASeq"
"X36E6","M36.2.F428","REF002","RNASeq"
"X5E360","M5.1.F429","NOTCH06_PM","RNASeq"
"X6E17","M6.2.F429","NOTCH06_PM","RNASeq"
"X25E97","M25.1.F429","NOTCH06_PM","RNASeq"
"X35E59","M35.1.F429","NOTCH06_PM","RNASeq"
"X36E7","M36.2.F429","NOTCH06_PM","RNASeq"
"X5E361","M5.1.F430",NA,"RNASeq"
"X15E220","M15.1.F430",NA,"RNASeq"
"X5E362","M5.1.F431","NOTCHB01_P3","RNASeq"
"X15E221","M15.1.F431","NOTCHB01_P3","RNASeq"
"X5E363","M5.1.F432","48602","RNASeq"
"X5E364","M5.1.F433",NA,"RNASeq"
"X5E365","M5.1.F434","70620","RNASeq"
"X5E366","M5.1.F435","REF004","RNASeq"
"X15E222","M15.1.F435","REF004","RNASeq"
"X25E98","M25.1.F435","REF004","RNASeq"
"X6E18","M6.2.F436","REF007","RNASeq"
"X15E223","M15.1.F436","REF007","RNASeq"
"X25E99","M25.1.F436","REF007","RNASeq"
"X35E60","M35.1.F436","REF007","RNASeq"
"X5E367","M5.1.F437","REF005","RNASeq"
"X6E19","M6.2.F437","REF005","RNASeq"
"X15E224","M15.1.F437","REF005","RNASeq"
"X25E100","M25.1.F437","REF005","RNASeq"
"X35E61","M35.1.F437","REF005","RNASeq"
"X5E368","M5.1.F438","REF001","RNASeq"
"X15E225","M15.1.F438","REF001","RNASeq"
"X5E369","M5.1.F439","NOTCH06_PM","RNASeq"
"X5E370","M5.1.F440","73471","RNASeq"
"X5E371","M5.1.F441","REF003","RNASeq"
"X5E372","M5.1.F442","241417","RNASeq"
"X15E226","M15.1.F442","241417","RNASeq"
"X25E101","M25.1.F442","241417","RNASeq"
"X5E373","M5.1.F443","73230","RNASeq"
"X15E227","M15.1.F443","73230","RNASeq"
"X25E102","M25.1.F443","73230","RNASeq"
"X5E374","M5.1.F444","48602","RNASeq"
"X15E228","M15.1.F444","48602","RNASeq"
"X5E375","M5.1.F445","REF001","RNASeq"
"X15E229","M15.1.F445","REF001","RNASeq"
"X5E376","M5.1.F446","REF005","RNASeq"
"X5E377","M5.1.F447","REF001","RNASeq"
"X5E378","M5.1.F448","NOTCHB01_P3","RNASeq"
"X15E230","M15.1.F448","NOTCHB01_P3","RNASeq"
"X5E379","M5.1.F449","NOTCHB01_P3","RNASeq"
"X15E231","M15.1.F449","NOTCHB01_P3","RNASeq"
"X5E383","M5.1.F453","70620","RNASeq"
"X5E384","M5.1.F454","69196","RNASeq"
"X6E21","M6.2.F454","69196","RNASeq"
"X7E3","M7.3.F454","69196","RNASeq"
"X15E234","M15.1.F454","69196","RNASeq"
"X16E18","M16.2.F454","69196","RNASeq"
"X17E4","M17.3.F454","69196","RNASeq"
"X5E385","M5.1.F455","73230","RNASeq"
"X5E387","M5.1.F457","NOTCHB01_P3","RNASeq"
"X5E388","M5.1.F458","INS-B-019","RNASeq"
"X15E235","M15.1.F458","INS-B-019","RNASeq"
"X5E389","M5.1.F459","73230","RNASeq"
"X15E236","M15.1.F459","73230","RNASeq"
"X5E390","M5.1.F460","70620","RNASeq"
"X15E237","M15.1.F460","70620","RNASeq"
"X5E391","M5.1.F461","70620","RNASeq"
"X15E238","M15.1.F461","70620","RNASeq"
"X5E392","M5.1.F462","66817","RNASeq"
"X15E239","M15.1.F462","66817","RNASeq"
"X5E393","M5.1.F464","48602","RNASeq"
"X5E394","M5.1.F465","48041","RNASeq"
"X5E395","M5.1.F466",NA,"RNASeq"
"X5E396","M5.1.F467",NA,"RNASeq"
"X15E241","M15.1.F467",NA,"RNASeq"
"X25E105","M25.1.F467",NA,"RNASeq"
"X35E63","M35.1.F467",NA,"RNASeq"
"X45E31","M45.1.F467",NA,"RNASeq"
"X5E397","M5.1.F468","REF005","RNASeq"
"X5E398","M5.1.F469","73230","RNASeq"
"X15E242","M15.1.F469","73230","RNASeq"
"X5E399","M5.1.F470","73230","RNASeq"
"X5E400","M5.1.F471","70620","RNASeq"
"X5E401","M5.1.F472","48602","RNASeq"
"X5E402","M5.1.F473","44205_S1","RNASeq"
"X15E243","M15.1.F473","44205_S1","RNASeq"
"X25E106","M25.1.F473","44205_S1","RNASeq"
"X5E403","M5.1.F474","REF002","RNASeq"
"X5E404","M5.1.F475","REF005","RNASeq"
"X15E244","M15.1.F475","REF005","RNASeq"
"X5E405","M5.1.F476","REF002","RNASeq"
"X5E406","M5.1.F477","REF001","RNASeq"
"X6E22","M6.2.F477","REF001","RNASeq"
"X15E245","M15.1.F477","REF001","RNASeq"
"X16E19","M16.2.F477","REF001","RNASeq"
"X5E407","M5.1.F478","73263","RNASeq"
"X5E408","M5.1.F479","70620","RNASeq"
"X15E246","M15.1.F479","70620","RNASeq"
"X5E411","M5.1.F482","48602","RNASeq"
"X15E249","M15.1.F482","48602","RNASeq"
"X25E109","M25.1.F482","48602","RNASeq"
"X5E413","M5.1.F484","70620","RNASeq"
"X15E251","M15.1.F484","70620","RNASeq"
"X5E416","M5.1.F487","44205_S1","RNASeq"
"X6E26","M6.2.F487","44205_S1","RNASeq"
"X15E254","M15.1.F487","44205_S1","RNASeq"
"X25E111","M25.1.F487","44205_S1","RNASeq"
"X35E64","M35.1.F487","44205_S1","RNASeq"
"X45E32","M45.1.F487","44205_S1","RNASeq"
"X55E9","M55.1.F487","44205_S1","RNASeq"
"X5E417","M5.1.F488","REF003","RNASeq"
"X5E418","M5.1.F489","NOTCHB01_P3","RNASeq"
"X5E419","M5.1.F490","NOTCHB01_P3","RNASeq"
"X6E27","M6.2.F490","NOTCHB01_P3","RNASeq"
"X15E255","M15.1.F490","NOTCHB01_P3","RNASeq"
"X5E420","M5.1.F491","82577","RNASeq"
"X5E421","M5.1.F492","69196","RNASeq"
"X5E422","M5.1.F493","NOTCH1_P4","RNASeq"
"X5E423","M5.1.F494","48041","RNASeq"
"X5E424","M5.1.F495","48602","RNASeq"
"X15E256","M15.1.F495","48602","RNASeq"
"X5E425","M5.1.F496","REF014","RNASeq"
"X15E257","M15.1.F496","REF014","RNASeq"
"X25E112","M25.1.F496","REF014","RNASeq"
"X35E65","M35.1.F496","REF014","RNASeq"
"X45E33","M45.1.F496","REF014","RNASeq"
"X55E10","M55.1.F496","REF014","RNASeq"
"X5E426","M5.1.F497","REF005","RNASeq"
"X15E258","M15.1.F497","REF005","RNASeq"
"X5E427","M5.1.F498","REF006","RNASeq"
"X15E259","M15.1.F498","REF006","RNASeq"
"X16E21","M16.2.F498","REF006","RNASeq"
"X5E428","M5.1.F499","NOTCHB01_P3","RNASeq"
"X5E429","M5.1.F500","NOTCH10_PM","RNASeq"
"X15E260","M15.1.F500","NOTCH10_PM","RNASeq"
"X16E22","M16.2.F500","NOTCH10_PM","RNASeq"
"X25E113","M25.1.F500","NOTCH10_PM","RNASeq"
"X26E16","M26.2.F500","NOTCH10_PM","RNASeq"
"X5E430","M5.1.F501","NOTCHB01_P3","RNASeq"
"X15E261","M15.1.F501","NOTCHB01_P3","RNASeq"
"X5E431","M5.1.F502","REF001","RNASeq"
"X5E432","M5.1.F503","NOTCHB01_P3","RNASeq"
"X15E262","M15.1.F503","NOTCHB01_P3","RNASeq"
"X5E433","M5.1.F504","73263","RNASeq"
"X15E263","M15.1.F504","73263","RNASeq"
"X5E434","M5.1.F505","73263","RNASeq"
"X15E264","M15.1.F505","73263","RNASeq"
"X5E435","M5.1.F506","NOTCH1_P4","RNASeq"
"X15E265","M15.1.F506","NOTCH1_P4","RNASeq"
"X5E436","M5.1.F507","73230","RNASeq"
"X5E438","M5.1.F509","INS-B-014","RNASeq"
"X15E267","M15.1.F509","INS-B-014","RNASeq"
"X16E23","M16.2.F509","INS-B-014","RNASeq"
"X25E115","M25.1.F509","INS-B-014","RNASeq"
"X26E18","M26.2.F509","INS-B-014","RNASeq"
"X5E440","M5.1.F511","48602","RNASeq"
"X5E442","M5.1.F513","48602","RNASeq"
"X15E269","M15.1.F513","48602","RNASeq"
"X25E117","M25.1.F513","48602","RNASeq"
"X5E443","M5.1.F514","73263","RNASeq"
"X15E270","M15.1.F514","73263","RNASeq"
"X25E118","M25.1.F514","73263","RNASeq"
"X5E444","M5.1.F515","47904","RNASeq"
"X15E271","M15.1.F515","47904","RNASeq"
"X5E446","M5.1.F517","REF007","RNASeq"
"X5E447","M5.1.F518","48602","RNASeq"
"X15E272","M15.1.F518","48602","RNASeq"
"X25E119","M25.1.F518","48602","RNASeq"
"X5E448","M5.1.F519","69196","RNASeq"
"X5E450","M5.1.F521","REF006","RNASeq"
"X15E273","M15.1.F521","REF006","RNASeq"
"X25E120","M25.1.F521","REF006","RNASeq"
"X5E451","M5.1.F522",NA,"RNASeq"
"X15E274","M15.1.F522",NA,"RNASeq"
"X5E452","M5.1.F523","REF005","RNASeq"
"X6E29","M6.2.F523","REF005","RNASeq"
"X7E4","M7.3.F523","REF005","RNASeq"
"X8E3","M8.4.F523","REF005","RNASeq"
"X15E275","M15.1.F523","REF005","RNASeq"
"X16E25","M16.2.F523","REF005","RNASeq"
"X17E5","M17.3.F523","REF005","RNASeq"
"X18E2","M18.4.F523","REF005","RNASeq"
"X5E453","M5.1.F524","241417","RNASeq"
"X15E276","M15.1.F524","241417","RNASeq"
"X5E454","M5.1.F525","241417","RNASeq"
"X5E456","M5.1.F527","73230","RNASeq"
"X5E457","M5.1.F528","71335","RNASeq"
"X15E277","M15.1.F528","71335","RNASeq"
"X16E26","M16.2.F528","71335","RNASeq"
"X25E121","M25.1.F528","71335","RNASeq"
"X35E67","M35.1.F528","71335","RNASeq"
"X36E10","M36.2.F528","71335","RNASeq"
"X5E458","M5.1.F529","69196","RNASeq"
"X15E278","M15.1.F529","69196","RNASeq"
"X5E459","M5.1.F530","47904","RNASeq"
"X5E460","M5.1.F531","REF016","RNASeq"
"X15E279","M15.1.F531","REF016","RNASeq"
"X25E122","M25.1.F531","REF016","RNASeq"
"X5E461","M5.1.F532","REF006","RNASeq"
"X15E280","M15.1.F532","REF006","RNASeq"
"X25E123","M25.1.F532","REF006","RNASeq"
"X5E462","M5.1.F533",NA,"RNASeq"
"X15E281","M15.1.F533",NA,"RNASeq"
"X5E463","M5.1.F534","NOTCHB02_P6","RNASeq"
"X15E282","M15.1.F534","NOTCHB02_P6","RNASeq"
"X5E464","M5.1.F535","NOTCHB01_P3","RNASeq"
"X15E283","M15.1.F535","NOTCHB01_P3","RNASeq"
"X25E124","M25.1.F535","NOTCHB01_P3","RNASeq"
"X5E465","M5.1.F536","241417","RNASeq"
"X5E466","M5.1.F537","82577","RNASeq"
"X5E467","M5.1.F538","73263","RNASeq"
"X15E284","M15.1.F538","73263","RNASeq"
"X5E468","M5.1.F539","48602","RNASeq"
"X15E285","M15.1.F539","48602","RNASeq"
"X25E125","M25.1.F539","48602","RNASeq"
"X5E469","M5.1.F540","NOTCHB01_P3","RNASeq"
"X15E286","M15.1.F540","NOTCHB01_P3","RNASeq"
"X5E471","M5.1.F542","NOTCHB01_P3","RNASeq"
"X5E472","M5.1.F543","73471","RNASeq"
"X5E473","M5.1.F544","73263","RNASeq"
"X15E287","M15.1.F544","73263","RNASeq"
"X25E126","M25.1.F544","73263","RNASeq"
"X5E474","M5.1.F545","NOTCHB01_P3","RNASeq"
"X5E475","M5.1.F546",NA,"RNASeq"
"X5E476","M5.1.F547",NA,"RNASeq"
"X15E288","M15.1.F547",NA,"RNASeq"
"X25E127","M25.1.F547",NA,"RNASeq"
"X5E477","M5.1.F548","73230","RNASeq"
"X5E478","M5.1.F549","71335","RNASeq"
"X15E289","M15.1.F549","71335","RNASeq"
"X5E481","M5.1.F552",NA,"RNASeq"
"X5E482","M5.1.F553","REF006","RNASeq"
"X15E290","M15.1.F553","REF006","RNASeq"
"X5E483","M5.1.F554","NOTCH10_PM","RNASeq"
"X6E31","M6.2.F554","NOTCH10_PM","RNASeq"
"X7E5","M7.3.F554","NOTCH10_PM","RNASeq"
"X15E291","M15.1.F554","NOTCH10_PM","RNASeq"
"X25E128","M25.1.F554","NOTCH10_PM","RNASeq"
"X35E68","M35.1.F554","NOTCH10_PM","RNASeq"
"X36E11","M36.2.F554","NOTCH10_PM","RNASeq"
"X45E34","M45.1.F554","NOTCH10_PM","RNASeq"
"X46E7","M46.2.F554","NOTCH10_PM","RNASeq"
"X5E484","M5.1.F555","73471","RNASeq"
"X15E292","M15.1.F555","73471","RNASeq"
"X16E27","M16.2.F555","73471","RNASeq"
"X5E485","M5.1.F556","NOTCH06_PM","RNASeq"
"X5E486","M5.1.F557","48602","RNASeq"
"X15E293","M15.1.F557","48602","RNASeq"
"X5E487","M5.1.F558","48602","RNASeq"
"X15E294","M15.1.F558","48602","RNASeq"
"X5E488","M5.1.F559","71335","RNASeq"
"X5E489","M5.1.F560","73230","RNASeq"
"X15E295","M15.1.F560","73230","RNASeq"
"X16E28","M16.2.F560","73230","RNASeq"
"X5E490","M5.1.F561","66817","RNASeq"
"X5E492","M5.1.F563","47904","RNASeq"
"X5E493","M5.1.F564","REF010","RNASeq"
"X5E494","M5.1.F565","REF002","RNASeq"
"X5E495","M5.1.F566","NOTCHB01_P3","RNASeq"
"X5E496","M5.1.F567","REF001","RNASeq"
"X5E498","M5.1.F569","INS-B-014","RNASeq"
"X15E297","M15.1.F569","INS-B-014","RNASeq"
"X5E499","M5.1.F570","73230","RNASeq"
"X15E298","M15.1.F570","73230","RNASeq"
"X5E500","M5.1.F571","70620","RNASeq"
"X5E503","M5.1.F574",NA,"RNASeq"
"X5E504","M5.1.F575","48602","RNASeq"
"X15E300","M15.1.F575","48602","RNASeq"
"X5E505","M5.1.F576","48602","RNASeq"
"X5E507","M5.1.F578","70620","RNASeq"
"X5E508","M5.1.F579","47904","RNASeq"
"X15E302","M15.1.F579","47904","RNASeq"
"X5E509","M5.1.F580","47904","RNASeq"
"X5E510","M5.1.F581",NA,"RNASeq"
"X5E512","M5.1.F583","NOTCHB01_P3","RNASeq"
"X15E304","M15.1.F583","NOTCHB01_P3","RNASeq"
"X5E513","M5.1.F584","73471","RNASeq"
"X6E33","M6.2.F584","73471","RNASeq"
"X15E305","M15.1.F584","73471","RNASeq"
"X25E133","M25.1.F584","73471","RNASeq"
"X26E21","M26.2.F584","73471","RNASeq"
"X35H67","M35.1.F584","73471","RNASeq"
"X45E35","M45.1.F584","73471","RNASeq"
"X46E8","M46.2.F584","73471","RNASeq"
"X5E514","M5.1.F585","NOTCHB02_P6","RNASeq"
"X15E306","M15.1.F585","NOTCHB02_P6","RNASeq"
"X16E30","M16.2.F585","NOTCHB02_P6","RNASeq"
"X25E134","M25.1.F585","NOTCHB02_P6","RNASeq"
"X35E70","M35.1.F585","NOTCHB02_P6","RNASeq"
"X45E36","M45.1.F585","NOTCHB02_P6","RNASeq"
"X5E515","M5.1.F586","REF005","RNASeq"
"X15E307","M15.1.F586","REF005","RNASeq"
"X5E516","M5.1.F587","NOTCH1_P4","RNASeq"
"X5E517","M5.1.F588","INS-B-014","RNASeq"
"X15E308","M15.1.F588","INS-B-014","RNASeq"
"X5E518","M5.1.F589","71335","RNASeq"
"X15E309","M15.1.F589","71335","RNASeq"
"X5E519","M5.1.F590","73471","RNASeq"
"X6E34","M6.2.F590","73471","RNASeq"
"X15E310","M15.1.F590","73471","RNASeq"
"X16E31","M16.2.F590","73471","RNASeq"
"X5E521","M5.1.F592","INS-B-014","RNASeq"
"X15E312","M15.1.F592","INS-B-014","RNASeq"
"X25E136","M25.1.F592","INS-B-014","RNASeq"
"X5E523","M5.1.F594","241417","RNASeq"
"X15E314","M15.1.F594","241417","RNASeq"
"X5E524","M5.1.F595","44205_S1","RNASeq"
"X15E315","M15.1.F595","44205_S1","RNASeq"
"X25E137","M25.1.F595","44205_S1","RNASeq"
"X5E525","M5.1.F596","NOTCH1_P4","RNASeq"
"X15E316","M15.1.F596","NOTCH1_P4","RNASeq"
"X25E138","M25.1.F596","NOTCH1_P4","RNASeq"
"X5E526","M5.1.F597","REF005","RNASeq"
"X15E317","M15.1.F597","REF005","RNASeq"
"X5E527","M5.1.F598","NOTCHB01_P3","RNASeq"
"X15E318","M15.1.F598","NOTCHB01_P3","RNASeq"
"X5E528","M5.1.F599","REF005","RNASeq"
"X5E529","M5.1.F600","NOTCH1_P4","RNASeq"
"X5E530","M5.1.F601","241417","RNASeq"
"X5E533","M5.1.F604","NOTCH06_PM","RNASeq"
"X15E319","M15.1.F604","NOTCH06_PM","RNASeq"
"X5E534","M5.1.F605","REF007","RNASeq"
"X15E320","M15.1.F605","REF007","RNASeq"
"X25E140","M25.1.00.F605","REF007","RNASeq"
"X35E71","M35.1.F605","REF007","RNASeq"
"X5E535","M5.1.F606","REF005","RNASeq"
"X5E536","M5.1.F607","REF005","RNASeq"
"X15E321","M15.1.F607","REF005","RNASeq"
"X5E537","M5.1.F608","REF001","RNASeq"
"X15E322","M15.1.F608","REF001","RNASeq"
"X16E32","M16.2.F608","REF001","RNASeq"
"X5E538","M5.0.F609","REF005","RNASeq"
"X5E539","M5.1.F610","REF005","RNASeq"
"X15E323","M15.1.F610","REF005","RNASeq"
"X16E33","M16.2.F610","REF005","RNASeq"
"X17E8","M17.3.F610","REF005","RNASeq"
"X25E141","M25.1.F610","REF005","RNASeq"
"X26E23","M26.2.F610","REF005","RNASeq"
"X5E540","M5.1.F611","73471","RNASeq"
"X5E541","M5.1.F612","REF005","RNASeq"
"X5E542","M5.1.F613","73263","RNASeq"
"X15E324","M15.1.F613","73263","RNASeq"
"1","M5.1.F1",NA,"mutation"
"11","M5.1.F2",NA,"mutation"
"12","M15.1.F2",NA,"mutation"
"13","M16.2.F2",NA,"mutation"
"14","M25.1.F2",NA,"mutation"
"15","M35.1.F2",NA,"mutation"
"16","M45.1.F2",NA,"mutation"
"17","M55.1.F2",NA,"mutation"
"18","M65.1.F2",NA,"mutation"
"19","M75.1.F2",NA,"mutation"
"110","M85.1.F2",NA,"mutation"
"111","M5.1.F3","48602","mutation"
"112","M15.1.F3","48602","mutation"
"113","M5.1.F4",NA,"mutation"
"114","M15.1.F4",NA,"mutation"
"115","M25.1.F4",NA,"mutation"
"119","M5.1.F7",NA,"mutation"
"120","M15.1.F7",NA,"mutation"
"121","M25.1.F7",NA,"mutation"
"122","M35.1.F7",NA,"mutation"
"123","M5.1.F9",NA,"mutation"
"124","M6.2.F9",NA,"mutation"
"125","M15.1.F9",NA,"mutation"
"126","M16.2.F9",NA,"mutation"
"135","M5.1.F11","68941","mutation"
"136","M15.1.F11","68941","mutation"
"137","M25.1.F11","68941","mutation"
"138","M5.1.F12","73263","mutation"
"139","M15.1.F12","73263","mutation"
"140","M16.2.F12","73263","mutation"
"141","M25.1.F12","73263","mutation"
"142","M5.1.F13",NA,"mutation"
"143","M5.1.F15",NA,"mutation"
"144","M15.1.F15",NA,"mutation"
"145","M5.1.F16",NA,"mutation"
"146","M15.1.F16",NA,"mutation"
"147","M5.1.F17",NA,"mutation"
"148","M15.1.F17",NA,"mutation"
"149","M5.1.F18",NA,"mutation"
"150","M15.1.F18",NA,"mutation"
"151","M5.1.F19",NA,"mutation"
"152","M5.1.F20",NA,"mutation"
"153","M5.1.F21",NA,"mutation"
"154","M5.1.F22",NA,"mutation"
"155","M15.1.F22",NA,"mutation"
"157","M5.1.F24",NA,"mutation"
"158","M15.1.F24",NA,"mutation"
"159","M5.1.F25",NA,"mutation"
"160","M15.1.F25",NA,"mutation"
"161","M25.1.F25",NA,"mutation"
"162","M35.1.F25",NA,"mutation"
"163","M5.1.F26","70620","mutation"
"164","M15.1.F26","70620","mutation"
"165","M5.1.F27","241417","mutation"
"166","M15.1.F27","241417","mutation"
"167","M25.1.F27","241417","mutation"
"168","M35.1.F27","241417","mutation"
"169","M6.1.F28","241417","mutation"
"170","M5.1.F29","241417","mutation"
"171","M15.1.F29","241417","mutation"
"172","M5.1.F30","241417","mutation"
"173","M15.1.F30","241417","mutation"
"174","M5.1.F31",NA,"mutation"
"175","M15.1.F31",NA,"mutation"
"176","M5.1.F32",NA,"mutation"
"177","M15.1.F32",NA,"mutation"
"178","M25.1.F32",NA,"mutation"
"179","M5.1.F33","71335","mutation"
"180","M5.1.F34",NA,"mutation"
"181","M15.1.F34",NA,"mutation"
"182","M25.1.F34",NA,"mutation"
"183","M35.1.F34",NA,"mutation"
"184","M5.1.F35",NA,"mutation"
"185","M15.1.F35",NA,"mutation"
"186","M5.1.F36",NA,"mutation"
"187","M15.1.F36",NA,"mutation"
"188","M5.1.F37",NA,"mutation"
"189","M15.1.F37",NA,"mutation"
"190","M15.1.F38","66817","mutation"
"191","M15.1.F39","48602","mutation"
"192","M25.1.F39","48602","mutation"
"193","M5.1.F40","69196","mutation"
"194","M15.1.F40","69196","mutation"
"195","M25.1.F40","69196","mutation"
"196","M5.1.F41","48602","mutation"
"197","M15.1.F42","73471","mutation"
"198","M5.1.F43",NA,"mutation"
"199","M6.2.F43",NA,"mutation"
"1100","M5.1.F44","70620","mutation"
"1101","M6.2.F44","70620","mutation"
"1102","M5.1.F45","47904","mutation"
"1103","M15.1.F45","47904","mutation"
"1104","M25.1.F45","47904","mutation"
"1105","M35.1.F45","47904","mutation"
"1106","M5.1.F46",NA,"mutation"
"1107","M15.1.F46",NA,"mutation"
"1108","M25.1.F46",NA,"mutation"
"1109","M35.1.F46",NA,"mutation"
"1110","M5.1.F47",NA,"mutation"
"1111","M15.1.F47",NA,"mutation"
"1112","M25.1.F47",NA,"mutation"
"1113","M35.1.F47",NA,"mutation"
"1116","M5.1.F49","47904","mutation"
"1117","M5.1.F50",NA,"mutation"
"1118","M15.2.F50",NA,"mutation"
"1119","M35.1.F50",NA,"mutation"
"1120","M45.1.F50",NA,"mutation"
"1121","M5.1.F51",NA,"mutation"
"1123","M5.1.F53",NA,"mutation"
"1124","M6.2.F53",NA,"mutation"
"1126","M5.1.F56",NA,"mutation"
"1127","M5.1.F57","47904","mutation"
"1128","M15.1.F57","47904","mutation"
"1162","M5.1.F66",NA,"mutation"
"1166","M5.1.F71",NA,"mutation"
"1167","M15.1.F71",NA,"mutation"
"1168","M25.1.F71",NA,"mutation"
"1171","M5.1.F76",NA,"mutation"
"1172","M5.1.F77","73263","mutation"
"1173","M5.1.F78","47904","mutation"
"1174","M5.1.F81",NA,"mutation"
"1175","M5.1.F84",NA,"mutation"
"1176","M5.1.F85",NA,"mutation"
"1179","M5.1.F89","47904","mutation"
"1196","M5.1.F101",NA,"mutation"
"1197","M6.2.F101",NA,"mutation"
"1198","M15.1.F101",NA,"mutation"
"1199","M25.1.F101",NA,"mutation"
"1200","M35.1.F101",NA,"mutation"
"1201","M45.1.F101",NA,"mutation"
"1202","M55.1.F101",NA,"mutation"
"1206","M5.1.F103",NA,"mutation"
"1208","M25.1.F103",NA,"mutation"
"1209","M35.1.F103",NA,"mutation"
"1210","M5.1.F104",NA,"mutation"
"1211","M15.1.F104",NA,"mutation"
"1212","M5.1.F106","73230","mutation"
"1213","M15.1.F106","73230","mutation"
"1219","M5.1.F110",NA,"mutation"
"1220","M15.2.F110",NA,"mutation"
"1221","M16.3.F110",NA,"mutation"
"1222","M25.1.F110",NA,"mutation"
"1225","M5.1.F112",NA,"mutation"
"1226","M25.1.F112",NA,"mutation"
"1227","M45.1.F112",NA,"mutation"
"1228","M5.1.F113",NA,"mutation"
"1229","M15.1.F113",NA,"mutation"
"1230","M5.1.F114",NA,"mutation"
"1233","M5.1.F117",NA,"mutation"
"1234","M15.1.F118",NA,"mutation"
"1235","M25.1.F118",NA,"mutation"
"1236","M5.1.F119",NA,"mutation"
"1238","M15.1.F121",NA,"mutation"
"1239","M5.1.F122",NA,"mutation"
"1240","M15.2.F122",NA,"mutation"
"1241","M25.1.F122",NA,"mutation"
"1242","M35.1.F122",NA,"mutation"
"1243","M45.1.F122",NA,"mutation"
"1245","M5.1.F125",NA,"mutation"
"1246","M5.1.F126",NA,"mutation"
"1248","M25.1.F126",NA,"mutation"
"1249","M35.1.F126",NA,"mutation"
"1251","M5.1.F128",NA,"mutation"
"1257","M5.1.F130","73263","mutation"
"1258","M5.1.F131",NA,"mutation"
"1259","M5.1.F134",NA,"mutation"
"1260","M5.1.F136",NA,"mutation"
"1262","M25.1.F136",NA,"mutation"
"1263","M35.1.F136",NA,"mutation"
"1265","M5.1.F138",NA,"mutation"
"1266","M5.1.F139","241417","mutation"
"1267","M15.1.F139","241417","mutation"
"1268","M5.1.F141",NA,"mutation"
"1269","M15.1.F141",NA,"mutation"
"1271","M5.1.F143","47904","mutation"
"1276","M5.1.F146",NA,"mutation"
"1277","M15.1.F146",NA,"mutation"
"1278","M25.1.F146",NA,"mutation"
"1279","M35.1.F146",NA,"mutation"
"1280","M45.1.F146",NA,"mutation"
"1281","M5.1.F147","73263","mutation"
"1282","M15.1.F147","73263","mutation"
"1283","M25.1.F147","73263","mutation"
"1284","M35.1.F147","73263","mutation"
"1286","M5.1.F148","70620","mutation"
"1292","M5.1.F154",NA,"mutation"
"1293","M15.1.F154",NA,"mutation"
"1295","M5.1.F156","73263","mutation"
"1296","M15.1.F156","73263","mutation"
"1297","M5.1.F157","73230","mutation"
"1298","M5.1.F158","48041","mutation"
"1299","M5.1.F159","47904","mutation"
"1300","M15.1.F159","47904","mutation"
"1301","M5.1.F160",NA,"mutation"
"1302","M15.1.F160",NA,"mutation"
"1303","M25.1.F160",NA,"mutation"
"1304","M26.2.F160",NA,"mutation"
"1305","M5.1.F161",NA,"mutation"
"1306","M15.1.F161",NA,"mutation"
"1309","M5.1.F163",NA,"mutation"
"1310","M5.1.F164",NA,"mutation"
"1311","M15.1.F164",NA,"mutation"
"1312","M25.1.F164",NA,"mutation"
"1313","M5.1.F165","73263","mutation"
"1314","M15.1.F165","73263","mutation"
"1315","M25.1.F165","73263","mutation"
"1316","M5.1.F166","73230","mutation"
"1317","M15.1.F166","73230","mutation"
"1318","M25.1.F166","73230","mutation"
"1319","M35.1.F166","73230","mutation"
"1322","M5.1.F169",NA,"mutation"
"1323","M15.1.F169",NA,"mutation"
"1329","M5.1.F174",NA,"mutation"
"1330","M5.1.F176",NA,"mutation"
"1331","M5.1.F177",NA,"mutation"
