"","X-1156","X-1172","X-1189","X-1228","X-1323","X-1442","X-1499","X-1586","X-1658","X-1683","X-1725","X-1787","X-1795","X-1823","X-1834","X-1835","X-1869","X-1870","X-1934","X-1979","X-1980","X-1993","X-2017","X-2042","X-20508","X-20689","X-20810","X-2082","X-2088","X-2094","X-21617","X-3029","X-3237","X-3843","X-4819","X-5267"
"BGJ398","X.1156.BG98","X.1172.BG98","X.1189.BG98","X.1228.BG98","X.1323.BG98","X.1442.BG98","X.1499.BG98","X.1586.BG98","X.1658.BG98","X.1683.BG98","X.1725.BG98","X.1787.BG98","","X.1823.BG98","X.1834.BG98","X.1835.BG98","X.1869.BG98","X.1870.BG98","X.1934.BG98","","X.1980.BG98","X.1993.BG98","X.2017.BG98","X.2042.BG98","","","","X.2082.BG98","X.2088.BG98","X.2094.BG98","","X.3029.BG98","X.3237.BG98","X.3843.BG98","X.4819.BG98",""
"binimetinib","X.1156.biib","X.1172.biib","X.1189.biib","X.1228.biib","X.1323.biib","X.1442.biib","X.1499.biib","X.1586.biib","X.1658.biib","X.1683.biib","X.1725.biib","X.1787.biib","","X.1823.biib","X.1834.biib","X.1835.biib","X.1869.biib","X.1870.biib","X.1934.biib","","X.1980.biib","X.1993.biib","X.2017.biib","X.2042.biib","","","","X.2082.biib","X.2088.biib","X.2094.biib","","X.3029.biib","X.3237.biib","X.3843.biib","X.4819.biib",""
"BKM120","X.1156.BK20","X.1172.BK20","X.1189.BK20","X.1228.BK20","X.1323.BK20","X.1442.BK20","X.1499.BK20","X.1586.BK20","X.1658.BK20","X.1683.BK20","X.1725.BK20","X.1787.BK20","","X.1823.BK20","X.1834.BK20","X.1835.BK20","X.1869.BK20","X.1870.BK20","X.1934.BK20","","X.1980.BK20","X.1993.BK20","X.2017.BK20","X.2042.BK20","","","","X.2082.BK20","X.2088.BK20","X.2094.BK20","","X.3029.BK20","X.3237.BK20","X.3843.BK20","X.4819.BK20",""
"BKM120 + binimetinib","X.1156.BK20.biib","X.1172.BK20.biib","X.1189.BK20.biib","X.1228.BK20.biib","X.1323.BK20.biib","X.1442.BK20.biib","X.1499.BK20.biib","X.1586.BK20.biib","X.1658.BK20.biib","X.1683.BK20.biib","X.1725.BK20.biib","X.1787.BK20.biib","","X.1823.BK20.biib","X.1834.BK20.biib","X.1835.BK20.biib","X.1869.BK20.biib","X.1870.BK20.biib","X.1934.BK20.biib","","X.1980.BK20.biib","X.1993.BK20.biib","X.2017.BK20.biib","X.2042.BK20.biib","","","","X.2082.BK20.biib","X.2088.BK20.biib","X.2094.BK20.biib","","X.3029.BK20.biib","X.3237.BK20.biib","X.3843.BK20.biib","X.4819.BK20.biib",""
"BYL719","X.1156.BY19","X.1172.BY19","X.1189.BY19","X.1228.BY19","X.1323.BY19","X.1442.BY19","X.1499.BY19","X.1586.BY19","X.1658.BY19","X.1683.BY19","X.1725.BY19","X.1787.BY19","","X.1823.BY19","X.1834.BY19","X.1835.BY19","X.1869.BY19","X.1870.BY19","X.1934.BY19","","X.1980.BY19","X.1993.BY19","X.2017.BY19","X.2042.BY19","","","","X.2082.BY19","X.2088.BY19","X.2094.BY19","","X.3029.BY19","X.3237.BY19","X.3843.BY19","X.4819.BY19",""
"BYL719 + LGH447","X.1156.BY19.LG47","X.1172.BY19.LG47","X.1189.BY19.LG47","X.1228.BY19.LG47","X.1323.BY19.LG47","X.1442.BY19.LG47","X.1499.BY19.LG47","X.1586.BY19.LG47","X.1658.BY19.LG47","X.1683.BY19.LG47","X.1725.BY19.LG47","X.1787.BY19.LG47","","X.1823.BY19.LG47","X.1834.BY19.LG47","X.1835.BY19.LG47","X.1869.BY19.LG47","X.1870.BY19.LG47","X.1934.BY19.LG47","","X.1980.BY19.LG47","X.1993.BY19.LG47","X.2017.BY19.LG47","X.2042.BY19.LG47","","","","X.2082.BY19.LG47","X.2088.BY19.LG47","X.2094.BY19.LG47","","X.3029.BY19.LG47","X.3237.BY19.LG47","X.3843.BY19.LG47","X.4819.BY19.LG47",""
"BYL719 + LJM716","X.1156.BY19.LJ16","X.1172.BY19.LJ16","X.1189.BY19.LJ16","X.1228.BY19.LJ16","X.1323.BY19.LJ16","X.1442.BY19.LJ16","X.1499.BY19.LJ16","X.1586.BY19.LJ16","X.1658.BY19.LJ16","X.1683.BY19.LJ16","X.1725.BY19.LJ16","X.1787.BY19.LJ16","","X.1823.BY19.LJ16","X.1834.BY19.LJ16","X.1835.BY19.LJ16","X.1869.BY19.LJ16","X.1870.BY19.LJ16","X.1934.BY19.LJ16","","X.1980.BY19.LJ16","X.1993.BY19.LJ16","X.2017.BY19.LJ16","X.2042.BY19.LJ16","","","","X.2082.BY19.LJ16","X.2088.BY19.LJ16","X.2094.BY19.LJ16","","X.3029.BY19.LJ16","X.3237.BY19.LJ16","X.3843.BY19.LJ16","X.4819.BY19.LJ16",""
"cetuximab","X.1156.ceab","X.1172.ceab","X.1189.ceab","X.1228.ceab","X.1323.ceab","X.1442.ceab","X.1499.ceab","X.1586.ceab","X.1658.ceab","X.1683.ceab","X.1725.ceab","X.1787.ceab","","X.1823.ceab","X.1834.ceab","X.1835.ceab","X.1869.ceab","X.1870.ceab","X.1934.ceab","","X.1980.ceab","X.1993.ceab","X.2017.ceab","X.2042.ceab","","","","X.2082.ceab","X.2088.ceab","X.2094.ceab","","X.3029.ceab","X.3237.ceab","X.3843.ceab","X.4819.ceab",""
"CGM097","X.1156.CG97","X.1172.CG97","X.1189.CG97","X.1228.CG97","X.1323.CG97","X.1442.CG97","X.1499.CG97","X.1586.CG97","X.1658.CG97","X.1683.CG97","X.1725.CG97","X.1787.CG97","","X.1823.CG97","X.1834.CG97","X.1835.CG97","X.1869.CG97","X.1870.CG97","X.1934.CG97","","X.1980.CG97","X.1993.CG97","X.2017.CG97","X.2042.CG97","","","","X.2082.CG97","X.2088.CG97","X.2094.CG97","","X.3029.CG97","X.3237.CG97","X.3843.CG97","X.4819.CG97",""
"CKX620","X.1156.CK20","X.1172.CK20","X.1189.CK20","X.1228.CK20","X.1323.CK20","X.1442.CK20","X.1499.CK20","X.1586.CK20","X.1658.CK20","X.1683.CK20","X.1725.CK20","X.1787.CK20","","X.1823.CK20","X.1834.CK20","X.1835.CK20","X.1869.CK20","X.1870.CK20","X.1934.CK20","","X.1980.CK20","X.1993.CK20","X.2017.CK20","X.2042.CK20","","","","X.2082.CK20","X.2088.CK20","X.2094.CK20","","X.3029.CK20","X.3237.CK20","X.3843.CK20","X.4819.CK20",""
