"","X-1156","X-1172","X-1189","X-1228","X-1323","X-1442","X-1499","X-1586","X-1658","X-1683","X-1725","X-1787","X-1795","X-1823","X-1834","X-1835","X-1869","X-1870","X-1934","X-1979","X-1980","X-1993","X-2017","X-2042","X-20508","X-20689","X-20810","X-2082","X-2088","X-2094","X-21617","X-3029","X-3237","X-3843","X-4819","X-5267"
"CLR457","X.1156.CL57","X.1172.CL57","X.1189.CL57","X.1228.CL57","X.1323.CL57","X.1442.CL57","X.1499.CL57","X.1586.CL57","X.1658.CL57","X.1683.CL57","X.1725.CL57","X.1787.CL57","","X.1823.CL57","X.1834.CL57","X.1835.CL57","X.1869.CL57","X.1870.CL57","X.1934.CL57","","X.1980.CL57","X.1993.CL57","X.2017.CL57","X.2042.CL57","","","","X.2082.CL57","X.2088.CL57","X.2094.CL57","","X.3029.CL57","X.3237.CL57","X.3843.CL57","X.4819.CL57",""
"erlotinib","X.1156.erib","X.1172.erib","X.1189.erib","X.1228.erib","X.1323.erib","X.1442.erib","X.1499.erib","X.1586.erib","X.1658.erib","X.1683.erib","X.1725.erib","X.1787.erib","","X.1823.erib","X.1834.erib","X.1835.erib","X.1869.erib","X.1870.erib","X.1934.erib","","X.1980.erib","X.1993.erib","X.2017.erib","X.2042.erib","","","","X.2082.erib","X.2088.erib","X.2094.erib","","X.3029.erib","X.3237.erib","X.3843.erib","X.4819.erib",""
"HDM201","X.1156.HD01","X.1172.HD01","X.1189.HD01","X.1228.HD01","X.1323.HD01","X.1442.HD01","X.1499.HD01","X.1586.HD01","X.1658.HD01","X.1683.HD01","X.1725.HD01","X.1787.HD01","","X.1823.HD01","X.1834.HD01","X.1835.HD01","X.1869.HD01","X.1870.HD01","X.1934.HD01","","X.1980.HD01","X.1993.HD01","X.2017.HD01","X.2042.HD01","","","","X.2082.HD01","X.2088.HD01","X.2094.HD01","","X.3029.HD01","X.3237.HD01","X.3843.HD01","X.4819.HD01",""
"HSP990","X.1156.HS90","X.1172.HS90","X.1189.HS90","X.1228.HS90","X.1323.HS90","X.1442.HS90","X.1499.HS90","X.1586.HS90","X.1658.HS90","X.1683.HS90","X.1725.HS90","X.1787.HS90","","X.1823.HS90","X.1834.HS90","X.1835.HS90","X.1869.HS90","X.1870.HS90","X.1934.HS90","","X.1980.HS90","X.1993.HS90","X.2017.HS90","X.2042.HS90","","","","X.2082.HS90","X.2088.HS90","X.2094.HS90","","X.3029.HS90","X.3237.HS90","X.3843.HS90","X.4819.HS90",""
"INC280","X.1156.IN80","X.1172.IN80","X.1189.IN80","X.1228.IN80","X.1323.IN80","X.1442.IN80","X.1499.IN80","X.1586.IN80","X.1658.IN80","X.1683.IN80","X.1725.IN80","X.1787.IN80","","X.1823.IN80","X.1834.IN80","X.1835.IN80","X.1869.IN80","","X.1934.IN80","","X.1980.IN80","X.1993.IN80","X.2017.IN80","X.2042.IN80","","","","X.2082.IN80","X.2088.IN80","X.2094.IN80","","X.3029.IN80","X.3237.IN80","X.3843.IN80","X.4819.IN80",""
"LCL161 + paclitaxel","X.1156.LC61.pael","X.1172.LC61.pael","X.1189.LC61.pael","X.1228.LC61.pael","X.1323.LC61.pael","X.1442.LC61.pael","X.1499.LC61.pael","X.1586.LC61.pael","X.1658.LC61.pael","X.1683.LC61.pael","X.1725.LC61.pael","X.1787.LC61.pael","","X.1823.LC61.pael","X.1834.LC61.pael","X.1835.LC61.pael","X.1869.LC61.pael","X.1870.LC61.pael","X.1934.LC61.pael","","X.1980.LC61.pael","X.1993.LC61.pael","X.2017.LC61.pael","X.2042.LC61.pael","","","","X.2082.LC61.pael","X.2088.LC61.pael","X.2094.LC61.pael","","X.3029.LC61.pael","X.3237.LC61.pael","X.3843.LC61.pael","X.4819.LC61.pael",""
"LEE011","X.1156.LE11","X.1172.LE11","X.1189.LE11","X.1228.LE11","X.1323.LE11","X.1442.LE11","X.1499.LE11","X.1586.LE11","X.1658.LE11","X.1683.LE11","X.1725.LE11","X.1787.LE11","","X.1823.LE11","X.1834.LE11","X.1835.LE11","X.1869.LE11","X.1870.LE11","X.1934.LE11","","X.1980.LE11","X.1993.LE11","X.2017.LE11","X.2042.LE11","","","","X.2082.LE11","X.2088.LE11","X.2094.LE11","","X.3029.LE11","X.3237.LE11","X.3843.LE11","X.4819.LE11",""
"LFW527 + binimetinib","X.1156.LF27.biib","X.1172.LF27.biib","","X.1228.LF27.biib","X.1323.LF27.biib","","X.1499.LF27.biib","X.1586.LF27.biib","X.1658.LF27.biib","","X.1725.LF27.biib","X.1787.LF27.biib","X.1795.LF27.biib","X.1823.LF27.biib","X.1834.LF27.biib","X.1835.LF27.biib","X.1869.LF27.biib","X.1870.LF27.biib","X.1934.LF27.biib","X.1979.LF27.biib","X.1980.LF27.biib","X.1993.LF27.biib","X.2017.LF27.biib","X.2042.LF27.biib","X.20508.LF27.biib","X.20689.LF27.biib","X.20810.LF27.biib","X.2082.LF27.biib","X.2088.LF27.biib","X.2094.LF27.biib","X.21617.LF27.biib","","X.3237.LF27.biib","X.3843.LF27.biib","X.4819.LF27.biib","X.5267.LF27.biib"
"LGH447","X.1156.LG47","X.1172.LG47","X.1189.LG47","X.1228.LG47","X.1323.LG47","X.1442.LG47","X.1499.LG47","X.1586.LG47","X.1658.LG47","X.1683.LG47","X.1725.LG47","X.1787.LG47","","X.1823.LG47","X.1834.LG47","X.1835.LG47","X.1869.LG47","X.1870.LG47","X.1934.LG47","","X.1980.LG47","X.1993.LG47","X.2017.LG47","X.2042.LG47","","","","X.2082.LG47","X.2088.LG47","X.2094.LG47","","X.3029.LG47","X.3237.LG47","X.3843.LG47","X.4819.LG47",""
"LLM871","X.1156.LL71","X.1172.LL71","X.1189.LL71","X.1228.LL71","X.1323.LL71","X.1442.LL71","X.1499.LL71","X.1586.LL71","X.1658.LL71","X.1683.LL71","X.1725.LL71","X.1787.LL71","","X.1823.LL71","X.1834.LL71","X.1835.LL71","X.1869.LL71","X.1870.LL71","X.1934.LL71","","X.1980.LL71","X.1993.LL71","X.2017.LL71","X.2042.LL71","","","","X.2082.LL71","X.2088.LL71","X.2094.LL71","","X.3029.LL71","X.3237.LL71","X.3843.LL71","X.4819.LL71",""
"paclitaxel","X.1156.pael","X.1172.pael","X.1189.pael","X.1228.pael","X.1323.pael","X.1442.pael","X.1499.pael","X.1586.pael","X.1658.pael","X.1683.pael","X.1725.pael","X.1787.pael","","X.1823.pael","X.1834.pael","X.1835.pael","X.1869.pael","X.1870.pael","X.1934.pael","","X.1980.pael","X.1993.pael","X.2017.pael","X.2042.pael","","","","X.2082.pael","","X.2094.pael","","X.3029.pael","X.3237.pael","X.3843.pael","X.4819.pael",""
"untreated","X.1156.uned","X.1172.uned","X.1189.uned","X.1228.uned","X.1323.uned","X.1442.uned","X.1499.uned","X.1586.uned","X.1658.uned","X.1683.uned","X.1725.uned","X.1787.uned","","X.1823.uned","X.1834.uned","X.1835.uned","X.1869.uned","X.1870.uned","X.1934.uned","","X.1980.uned","X.1993.uned","X.2017.uned","X.2042.uned","","","","X.2082.uned","X.2088.uned","X.2094.uned","","X.3029.uned","X.3237.uned","X.3843.uned","X.4819.uned",""
