"","X-0991","X-1199","X-1289","X-1317","X-1362","X-1948","X-1959","X-2026","X-2043","X-2081","X-2283","X-2339","X-2428","X-2470","X-2564","X-2633","X-2684","X-2997","X-3028","X-3038","X-3052","X-3209","X-3268","X-3782","X-3800","X-3816","X-3846","X-3898","X-3947","X-3990","X-4015","X-4018","X-4215","X-4226","X-4316","X-4377","X-4378","X-4439","X-4649","X-4676","X-4927","X-5205"
"abraxane","NA","PD","PD","","PD","SD","","","PD","","PD","PD","PD","SD","PD","PD","PD","PD","PD","PD","PD","PD","PD","SD","PD","SD","PD","PD","PR","PD","PD","PD","PD","PD","PD","NA","PD","SD","PD","PD","PD",""
"binimetinib","SD","PR","","SD","SD","SD","SD","SD","SD","PR","","SD","SD","","SD","SD","SD","PD","SD","SD","SD","SD","PR","SD","PR","SD","PR","PD","PD","NA","SD","SD","SD","SD","SD","SD","SD","SD","SD","SD","SD","SD"
"binimetinib-3.5mpk","SD","SD","SD","PR","SD","SD","","","PD","PD","PD","SD","PR","SD","PD","SD","PD","PD","PD","SD","SD","","SD","PR","","SD","SD","PD","PD","PD","","PR","PD","PD","SD","PD","PD","SD","PD","PD","PD","CR"
"BKM120 + binimetinib","SD","PR","","PR","SD","SD","PR","SD","SD","PR","","PR","PR","","SD","PR","NA","SD","SD","SD","SD","SD","SD","SD","PR","PD","SD","PD","SD","SD","PD","SD","","SD","","SD","SD","SD","SD","SD","SD","SD"
"BKM120 + LDE225","SD","SD","","SD","SD","SD","","","PD","SD","","","PR","","SD","SD","PD","SD","SD","SD","SD","SD","PD","","PR","","SD","SD","PD","SD","PD","PD","PD","SD","SD","SD","PR","PR","PD","PR","SD","PR"
"BYL719","SD","SD","PD","","PD","SD","","SD","PD","SD","PD","SD","SD","SD","PD","SD","SD","PD","PD","SD","SD","","SD","","SD","SD","SD","SD","PD","SD","SD","PD","SD","SD","SD","PD","SD","SD","SD","PD","PD","SD"
"BYL719 + LJM716","SD","SD","CR","","PD","PD","","PD","SD","PD","","SD","SD","","SD","SD","SD","PD","PD","SD","SD","SD","SD","","SD","SD","","SD","PD","PD","SD","","PR","SD","SD","","SD","SD","SD","PD","SD","SD"
"CLR457","SD","PD","PD","","PD","PD","","SD","PD","PD","PD","SD","SD","SD","SD","PD","PD","PD","SD","SD","PD","","PD","SD","SD","SD","SD","","PD","SD","PD","SD","PD","SD","SD","SD","SD","SD","SD","SD","","SD"
"figitumumab","SD","PD","PD","PD","PD","SD","","","PD","PD","","PD","PD","PD","PD","SD","SD","PD","PD","PD","PD","","PD","PD","PD","PD","PD","SD","PD","PD","PD","SD","PD","SD","PD","PD","PD","PD","PD","PD","PD","SD"
"figitumumab + binimetinib","SD","SD","PD","","SD","PD","","PD","PD","PD","","SD","PR","PD","SD","SD","SD","PD","PD","SD","SD","SD","SD","SD","PD","SD","PD","PD","PD","PD","PD","PD","SD","PD","PD","PD","SD","PD","SD","PD","PD",""
"gemcitabine-50mpk","SD","SD","CR","SD","PD","SD","SD","PR","SD","PD","PD","PD","PD","","SD","SD","","","","","PD","SD","SD","PD","SD","SD","SD","SD","SD","PR","SD","SD","PR","PD","PR","SD","SD","PD","NA","SD","PR","PR"
"HDM201","SD","","SD","","PD","PD","","PD","PD","PD","PD","SD","PD","","SD","SD","PD","PD","SD","SD","SD","","PD","","SD","PD","PD","PD","PD","PD","SD","PD","PD","PD","PD","PD","SD","SD","SD","SD","PD","CR"
"INC424","PD","SD","PD","","PD","SD","","SD","PD","","PD","SD","SD","SD","SD","","PD","PD","SD","SD","PD","SD","PD","PD","SD","SD","PD","PD","SD","PD","PD","","SD","PD","SD","PD","PD","SD","PD","PD","PD",""
"INC424 + binimetinib","SD","SD","","SD","SD","SD","SD","PD","SD","SD","PD","SD","","","PD","SD","PD","PD","SD","SD","SD","SD","SD","","SD","SD","PD","SD","SD","PD","SD","SD","SD","SD","","PD","SD","SD","PD","SD","PD","SD"
"LEE011","PD","SD","PD","PD","SD","PD","PD","","PD","PD","PD","SD","SD","SD","SD","PD","SD","PD","SD","SD","PD","PD","SD","SD","SD","PD","","PD","PD","PD","","SD","PD","PD","SD","SD","PD","PD","NA","PD","PD",""
"LKA136","SD","SD","PR","","PD","SD","","PD","PD","PD","PD","PD","PD","PD","SD","PD","PD","PD","SD","PD","PD","","SD","","PD","PD","SD","SD","PD","PD","PD","PD","PD","PD","SD","CR","PD","PD","SD","SD","PD","SD"
"trametinib","SD","PR","PR","","PR","SD","","SD","","PD","PD","SD","SD","SD","SD","SD","SD","PD","SD","SD","PD","","SD","SD","SD","SD","PR","SD","PD","SD","","SD","SD","SD","SD","SD","PD","SD","SD","SD","PD","PD"
"untreated","SD","SD","PD","PD","PD","SD","","PD","PD","PD","","SD","SD","PD","PD","PD","PD","PD","PD","PD","PD","","PD","PD","PD","PD","PD","PD","PD","PD","PD","PD","PD","PD","SD","","PD","PD","PD","PD","PD","PD"
"BKM120","","SD","PD","","PD","SD","","PD","PD","SD","PD","SD","SD","SD","SD","SD","SD","PD","SD","SD","SD","NA","SD","","SD","SD","SD","SD","PD","PD","","PD","PD","SD","SD","PD","SD","SD","SD","SD","PD","PD"
"WNT974","","SD","PD","","PD","PD","","PD","","PD","PD","SD","NA","PD","NA","SD","PD","","SD","SD","PD","","SD","PD","SD","PD","PD","PD","NA","PD","PD","PD","PD","PD","SD","SD","PD","PD","PD","PD","PD","SD"
