"","batch.id","response_type","value"
"74","48602.CFI-402257","abc","103.7879"
"75","48602.CFI-402257","TGI","-8.4542"
"76","48602.TAXOL","angle","152.8197"
"77","48602.TAXOL","abc","253.6950"
"78","48602.TAXOL","TGI","-16.0825"
"79","REF010BL.CFI-402257","angle","4.8779"
"80","REF010BL.CFI-402257","abc","50.2098"
"81","REF010BL.CFI-402257","TGI","33.0520"
"82","REF010BL.TAXOL + CFI-402257","angle","153.6539"
"83","REF010BL.TAXOL + CFI-402257","abc","266.4579"
"84","REF010BL.TAXOL + CFI-402257","TGI","-49.2085"
"85","REF010BL.TAXOL","angle","155.4511"
"86","REF010BL.TAXOL","abc","232.2550"
"87","REF010BL.TAXOL","TGI","-17.5805"
"88","REF010BL.CFI-400945","angle","101.3554"
"89","REF010BL.CFI-400945","abc","176.5946"
"90","REF010BL.CFI-400945","TGI","-29.0691"
"91","REF010BL.BMN673","angle","44.8033"
"92","REF010BL.BMN673","abc","97.6837"
"93","REF010BL.BMN673","TGI","-12.7513"
"94","REF010BL.CDX-011","angle","149.7083"
"95","REF010BL.CDX-011","abc","240.4646"
"96","REF010BL.CDX-011","TGI","-66.6447"
"97","REF010BL.CX5461","angle","43.8069"
"98","REF010BL.CX5461","abc","138.7671"
"99","REF010BL.CX5461","TGI","-10.6162"
"100","NOTCH1.FLUVASTATIN","angle","NA"
"101","NOTCH1.FLUVASTATIN","abc","NA"
"102","NOTCH1.FLUVASTATIN","TGI","NA"
"103","NOTCH1.DIPYRIDAMOLE","angle","NA"
"104","NOTCH1.DIPYRIDAMOLE","abc","NA"
"105","NOTCH1.DIPYRIDAMOLE","TGI","NA"
"106","NOTCH1.ERIBULIN","angle","150.1319"
"107","NOTCH1.ERIBULIN","abc","265.6343"
"108","NOTCH1.ERIBULIN","TGI","98.1086"
"109","NOTCH1.CFI-400945","angle","72.7094"
"110","NOTCH1.CFI-400945","abc","47.0069"
"111","NOTCH1.CFI-400945","TGI","-2.5700"
"112","NOTCH1.BMN673","angle","12.9788"
"113","NOTCH1.BMN673","abc","62.0127"
"114","NOTCH1.BMN673","TGI","23.6113"
"115","NOTCH1.CFI-402257","angle","-5.6635"
"116","NOTCH1.CFI-402257","abc","-207.5989"
"117","NOTCH1.CFI-402257","TGI","1.1811"
"118","NOTCH1.TAXOL","angle","106.5865"
"119","NOTCH1.TAXOL","abc","198.8366"
"120","NOTCH1.TAXOL","TGI","272.4479"
"121","NOTCH1.CDX-011","angle","13.3228"
"122","NOTCH1.CDX-011","abc","145.8045"
"123","NOTCH1.CDX-011","TGI","5.0449"
"124","NOTCH1.CARBOPLATIN","angle","23.4484"
"125","NOTCH1.CARBOPLATIN","abc","163.8845"
