id,batch_id,response_type,value
242,81,abc,422.3667
243,81,TGI,1.3518
244,82,angle,39.4042
245,82,abc,465.2294
246,82,TGI,1.9187
247,83,angle,6.3981
248,83,abc,385.7000
249,83,TGI,1.5083
250,84,angle,5.9435
251,84,abc,400.4601
252,84,TGI,1.2989
253,85,angle,-0.7544
254,85,abc,299.4925
255,85,TGI,0.9779
256,86,angle,8.2359
257,86,abc,407.0698
258,86,TGI,1.6159
259,87,angle,-3.7116
260,87,abc,-346.6588
261,87,TGI,-2.6941
262,88,angle,-0.2294
263,88,abc,325.8462
264,88,TGI,0.8385
265,89,angle,-1.2307
266,89,abc,125.6500
267,89,TGI,-0.2286
268,90,angle,0.9968
269,90,abc,375.1547
270,90,TGI,0.7324
271,91,angle,-3.6666
272,91,abc,130.0179
273,91,TGI,0.5423
274,92,angle,-0.4563
275,92,abc,170.6685
276,92,TGI,0.0048
277,93,angle,10.5042
278,93,abc,407.1683
279,93,TGI,1.5657
280,94,angle,-4.0136
281,94,abc,-200.8950
282,94,TGI,-2.9099
283,95,angle,-0.4570
284,95,abc,-50.0742
285,95,TGI,-3.5835
286,96,angle,11.7841
287,96,abc,185.5556
288,96,TGI,3.9705
289,97,angle,-6.6326
290,97,abc,-0.2624
291,97,TGI,-3.5862
292,98,angle,1.7157
293,98,abc,268.8637
294,98,TGI,1.4524
295,99,angle,-0.3038
296,99,abc,226.9617
297,99,TGI,1.5730
298,100,angle,154.3657
299,100,abc,438.0076
300,100,TGI,4.1457
301,101,angle,90.8498
302,101,abc,288.3138
303,101,TGI,4.6047
304,102,angle,-5.8383
305,102,abc,-99.5947
306,102,TGI,-6.1540
307,103,angle,-0.6850
308,103,abc,-36.5828
309,103,TGI,-3.3970
310,104,angle,-5.8224
311,104,abc,66.7522
312,104,TGI,-0.5201
313,105,angle,-5.7527
314,105,abc,101.6229
315,105,TGI,-1.2794
316,106,angle,-0.5460
317,106,abc,164.0974
318,106,TGI,1.6662
319,107,angle,-10.1221
320,107,abc,57.3397
321,107,TGI,-2.8220
322,108,angle,-5.1137
323,108,abc,91.6689
324,108,TGI,-0.1987
325,109,angle,134.1039
326,109,abc,393.3617
327,109,TGI,3.3622
328,110,angle,-4.6430
329,110,abc,62.7199
330,110,TGI,0.6348
331,111,angle,8.9048
332,111,abc,272.7536
333,111,TGI,1.9602
334,112,angle,-5.4558
335,112,abc,4.0394
336,112,TGI,-4.9261
337,113,angle,-4.9280
338,113,abc,146.6849
339,113,TGI,-1.1307
340,114,angle,143.0470
341,114,abc,238.7153
342,114,TGI,15.9621
343,115,angle,150.5355
344,115,abc,223.8961
345,115,TGI,57.3619
346,116,angle,136.0622
347,116,abc,43.6786
348,116,TGI,2.3780
349,117,angle,162.9575
350,117,abc,336.8446
351,117,TGI,9.4611
352,118,angle,-0.7811
353,118,abc,25.8360
354,118,TGI,3.7234
355,119,angle,8.2909
356,119,abc,94.0981
357,119,TGI,226.7500
358,120,angle,148.9818
359,120,abc,197.2219
360,120,TGI,54.8596
361,121,angle,-1.2679
362,121,abc,-132.0629
363,121,TGI,-0.7670
364,122,angle,7.9353
365,122,abc,278.9145
366,122,TGI,-17.8878
367,123,angle,168.0459
368,123,abc,467.0129
369,123,TGI,-37.5960
370,124,angle,2.6100
371,124,abc,172.0306
372,124,TGI,-7.0057
373,125,angle,67.5157
374,125,abc,426.3065
375,125,TGI,25.8875
376,126,angle,1.6952
377,126,abc,110.6836
