id,drug_id,model_id,response_type,value
1,64,1,mRECIST,PD
2,64,1,best.average.response,25.1562
3,64,1,slope,81.0968
4,64,1,AUC,257.7579
5,64,1,survival,66.0000
6,65,2,mRECIST,SD
7,65,2,best.average.response,-21.9671
8,65,2,slope,63.5427
9,65,2,AUC,201.0021
10,65,2,survival,69.0000
11,66,3,mRECIST,CR
12,66,3,best.average.response,-76.2111
13,66,3,slope,-70.7935
14,66,3,AUC,15.3667
15,66,3,survival,84.0000
16,33,4,mRECIST,PR
17,33,4,best.average.response,-21.1686
18,33,4,slope,49.9864
19,33,4,AUC,108.0095
20,33,4,survival,80.0000
21,68,5,mRECIST,PD
22,68,5,best.average.response,30.4980
23,68,5,slope,70.9787
24,68,5,AUC,173.1654
25,68,5,survival,24.0000
26,64,6,mRECIST,PD
27,64,6,best.average.response,355.7465
28,64,6,slope,89.1908
29,64,6,AUC,529.2344
30,64,6,survival,14.0000
31,65,7,mRECIST,PD
32,65,7,best.average.response,135.0659
33,65,7,slope,89.2853
34,65,7,AUC,1129.1998
35,65,7,survival,28.0000
36,66,8,mRECIST,PD
37,66,8,best.average.response,77.3073
38,66,8,slope,83.5395
39,66,8,AUC,541.9943
40,66,8,survival,49.0000
41,33,9,mRECIST,SD
42,33,9,best.average.response,1.3762
43,33,9,slope,63.4147
44,33,9,AUC,255.0944
45,33,9,survival,49.0000
46,68,10,mRECIST,NA
47,68,10,best.average.response,NA
48,68,10,slope,87.3577
49,68,10,AUC,273.6438
50,68,10,survival,10.0000
51,64,11,mRECIST,PD
52,64,11,best.average.response,66.2121
53,64,11,slope,88.1425
54,64,11,AUC,548.1127
55,64,11,survival,28.0000
56,65,12,mRECIST,PR
57,65,12,best.average.response,-33.7202
58,65,12,slope,-62.2118
59,65,12,AUC,65.9919
60,65,12,survival,50.0000
61,66,13,mRECIST,PD
62,66,13,best.average.response,103.4583
63,66,13,slope,86.8000
64,66,13,AUC,318.0787
65,66,13,survival,27.0000
66,33,14,mRECIST,PD
67,33,14,best.average.response,132.9813
68,33,14,slope,88.1516
69,33,14,AUC,539.1806
70,33,14,survival,27.0000
71,68,15,mRECIST,SD
72,68,15,best.average.response,11.2755
73,68,15,slope,69.9734
74,68,15,AUC,184.8345
75,68,15,survival,27.0000
76,64,16,mRECIST,PD
77,64,16,best.average.response,42.2508
78,64,16,slope,81.4864
79,64,16,AUC,319.0138
80,64,16,survival,52.0000
81,65,17,mRECIST,PD
82,65,17,best.average.response,42.2508
83,65,17,slope,82.0703
84,65,17,AUC,248.2879
85,65,17,survival,28.0000
86,66,18,mRECIST,SD
87,66,18,best.average.response,-23.1250
88,66,18,slope,47.7170
89,66,18,AUC,121.2746
90,66,18,survival,56.0000
91,33,19,mRECIST,CR
92,33,19,best.average.response,-74.2582
93,33,19,slope,-67.6076
94,33,19,AUC,21.9529
95,33,19,survival,57.0000
96,68,20,mRECIST,SD
97,68,20,best.average.response,3.3907
98,68,20,slope,77.6053
99,68,20,AUC,265.9863
100,68,20,survival,57.0000
