id,drug_id,model_id,response_type,value
101,64,21,mRECIST,SD
102,64,21,best.average.response,8.2840
103,64,21,slope,77.9585
104,64,21,AUC,162.0281
105,64,21,survival,30.0000
106,65,22,mRECIST,SD
107,65,22,best.average.response,-33.3283
108,65,22,slope,-52.3782
109,65,22,AUC,55.1116
110,65,22,survival,28.0000
111,66,23,mRECIST,SD
112,66,23,best.average.response,-5.2592
113,66,23,slope,53.6347
114,66,23,AUC,112.0972
115,66,23,survival,76.0000
116,33,24,mRECIST,PR
117,33,24,best.average.response,-32.8026
118,33,24,slope,-47.2496
119,33,24,AUC,79.6836
120,33,24,survival,56.0000
121,68,25,mRECIST,SD
122,68,25,best.average.response,-11.8017
123,68,25,slope,-74.7804
124,68,25,AUC,281.2333
125,68,25,survival,15.0000
126,64,26,mRECIST,PD
127,64,26,best.average.response,36.2222
128,64,26,slope,68.1809
129,64,26,AUC,129.7701
130,64,26,survival,80.0000
131,65,27,mRECIST,SD
132,65,27,best.average.response,-17.5429
133,65,27,slope,-6.3158
134,65,27,AUC,45.5596
135,65,27,survival,52.0000
136,66,28,mRECIST,SD
137,66,28,best.average.response,-28.1732
138,66,28,slope,-60.3523
139,66,28,AUC,72.8650
140,66,28,survival,25.0000
141,33,29,mRECIST,CR
142,33,29,best.average.response,-67.9398
143,33,29,slope,-71.2986
144,33,29,AUC,27.9100
145,33,29,survival,50.0000
146,68,30,mRECIST,PD
147,68,30,best.average.response,16.7708
148,68,30,slope,73.2575
149,68,30,AUC,138.3578
150,68,30,survival,29.0000
151,64,31,mRECIST,PD
152,64,31,best.average.response,50.2421
153,64,31,slope,83.4554
154,64,31,AUC,290.2872
155,64,31,survival,42.0000
156,65,32,mRECIST,PR
157,65,32,best.average.response,-37.9931
158,65,32,slope,-62.3189
159,65,32,AUC,63.8298
160,65,32,survival,38.0000
161,66,33,mRECIST,CR
162,66,33,best.average.response,-61.3659
163,66,33,slope,-80.9428
164,66,33,AUC,45.4243
165,66,33,survival,26.0000
166,33,34,mRECIST,PR
167,33,34,best.average.response,-34.4353
168,33,34,slope,-5.4121
169,33,34,AUC,80.3215
170,33,34,survival,63.0000
171,68,35,mRECIST,PD
172,68,35,best.average.response,15.1923
173,68,35,slope,82.6427
174,68,35,AUC,321.1601
175,68,35,survival,57.0000
176,64,36,mRECIST,PD
177,64,36,best.average.response,62.2222
178,64,36,slope,86.2591
179,64,36,AUC,364.1607
180,64,36,survival,35.0000
181,65,37,mRECIST,PD
182,65,37,best.average.response,32.5279
183,65,37,slope,18.2664
184,65,37,AUC,144.3554
185,65,37,survival,92.0000
186,66,38,mRECIST,SD
187,66,38,best.average.response,9.5016
188,66,38,slope,79.1055
189,66,38,AUC,234.5590
190,66,38,survival,36.0000
191,33,39,mRECIST,SD
192,33,39,best.average.response,1.9790
193,33,39,slope,68.3128
194,33,39,AUC,202.5570
195,33,39,survival,57.0000
196,68,40,mRECIST,SD
197,68,40,best.average.response,-3.9053
198,68,40,slope,67.3464
199,68,40,AUC,137.7759
200,68,40,survival,29.0000
201,64,41,mRECIST,PD
202,64,41,best.average.response,425.2686
203,64,41,slope,89.2689
204,64,41,AUC,817.0412
205,64,41,survival,22.0000
206,65,42,mRECIST,PR
207,65,42,best.average.response,-48.8718
208,65,42,slope,-55.8548
209,65,42,AUC,55.7290
210,65,42,survival,76.0000
211,66,43,mRECIST,CR
212,66,43,best.average.response,-72.2258
213,66,43,slope,-69.7923
214,66,43,AUC,28.7789
215,66,43,survival,53.0000
216,33,44,mRECIST,SD
217,33,44,best.average.response,1.8287
218,33,44,slope,-39.9337
219,33,44,AUC,87.0451
220,33,44,survival,54.0000
221,68,45,mRECIST,PD
222,68,45,best.average.response,145.5440
223,68,45,slope,88.4210
224,68,45,AUC,717.9679
225,68,45,survival,35.0000
226,64,46,mRECIST,PD
227,64,46,best.average.response,90.1673
228,64,46,slope,86.4310
229,64,46,AUC,449.8686
230,64,46,survival,49.0000
231,65,47,mRECIST,CR
232,65,47,best.average.response,-64.7135
233,65,47,slope,-59.9013
234,65,47,AUC,21.2830
235,65,47,survival,53.0000
236,66,48,mRECIST,SD
237,66,48,best.average.response,-13.3250
238,66,48,slope,60.6794
239,66,48,AUC,149.0710
240,66,48,survival,33.0000
241,33,49,mRECIST,CR
242,33,49,best.average.response,-68.5766
243,33,49,slope,-69.7859
244,33,49,AUC,32.3698
245,33,49,survival,67.0000
246,64,50,mRECIST,SD
247,64,50,best.average.response,9.7519
248,64,50,slope,82.2421
249,64,50,AUC,331.1089
250,64,50,survival,66.0000
251,65,51,mRECIST,CR
252,65,51,best.average.response,-81.6153
253,65,51,slope,-69.6359
254,65,51,AUC,15.2272
255,65,51,survival,80.0000
256,66,52,mRECIST,PR
257,66,52,best.average.response,-35.4083
258,66,52,slope,-7.9852
259,66,52,AUC,87.6769
260,66,52,survival,77.0000
261,33,53,mRECIST,CR
262,33,53,best.average.response,-70.6752
263,33,53,slope,-82.2204
264,33,53,AUC,86.0283
265,33,53,survival,81.0000
266,68,54,mRECIST,SD
267,68,54,best.average.response,15.5273
268,68,54,slope,55.5542
269,68,54,AUC,591.6393
270,68,54,survival,57.0000
271,64,55,mRECIST,PD
272,64,55,best.average.response,129.4823
273,64,55,slope,88.2815
274,64,55,AUC,526.6473
275,64,55,survival,28.0000
276,65,56,mRECIST,CR
277,65,56,best.average.response,-77.2240
278,65,56,slope,-76.9163
279,65,56,AUC,30.6274
280,65,56,survival,53.0000
281,66,57,mRECIST,PD
282,66,57,best.average.response,61.4463
283,66,57,slope,78.9051
284,66,57,AUC,237.0853
285,66,57,survival,52.0000
286,33,58,mRECIST,PR
287,33,58,best.average.response,-52.3997
288,33,58,slope,-69.1766
289,33,58,AUC,56.9306
290,33,58,survival,54.0000
291,68,59,mRECIST,CR
292,68,59,best.average.response,-68.0237
293,68,59,slope,-70.5139
294,68,59,AUC,31.8833
295,68,59,survival,49.0000
296,64,60,mRECIST,PD
297,64,60,best.average.response,133.2983
298,64,60,slope,87.6783
299,64,60,AUC,491.6326
300,64,60,survival,37.0000
301,65,61,mRECIST,PD
302,65,61,best.average.response,80.0000
303,65,61,slope,88.0041
304,65,61,AUC,635.9256
305,65,61,survival,42.0000
306,66,62,mRECIST,SD
307,66,62,best.average.response,22.7934
308,66,62,slope,80.3639
309,66,62,AUC,263.9636
310,66,62,survival,49.0000
311,33,63,mRECIST,PD
312,33,63,best.average.response,52.4722
313,33,63,slope,87.4041
314,33,63,AUC,591.7031
315,33,63,survival,42.0000
316,68,64,mRECIST,PD
317,68,64,best.average.response,43.8194
318,68,64,slope,82.6699
319,68,64,AUC,224.0732
320,68,64,survival,35.0000
321,64,65,mRECIST,PD
322,64,65,best.average.response,234.0408
323,64,65,slope,89.0853
324,64,65,AUC,739.4940
325,64,65,survival,21.0000
326,65,66,mRECIST,PD
327,65,66,best.average.response,55.1605
328,65,66,slope,87.5220
329,65,66,AUC,424.3031
330,65,66,survival,20.0000
331,66,67,mRECIST,PR
332,66,67,best.average.response,-53.8076
333,66,67,slope,-81.1241
334,66,67,AUC,49.1024
335,66,67,survival,18.0000
336,33,68,mRECIST,PD
337,33,68,best.average.response,57.3077
338,33,68,slope,86.6600
339,33,68,AUC,346.0453
340,33,68,survival,29.0000
341,64,69,mRECIST,PD
342,64,69,best.average.response,20.3750
343,64,69,slope,81.4468
344,64,69,AUC,245.3048
345,64,69,survival,49.0000
346,65,70,mRECIST,CR
347,65,70,best.average.response,-58.0417
348,65,70,slope,-54.8515
349,65,70,AUC,18.1410
350,65,70,survival,45.0000
351,66,71,mRECIST,SD
352,66,71,best.average.response,24.6521
353,66,71,slope,82.7606
354,66,71,AUC,333.0685
355,66,71,survival,52.0000
356,33,72,mRECIST,CR
357,33,72,best.average.response,-50.9658
358,33,72,slope,-67.6039
359,33,72,AUC,63.4255
360,33,72,survival,159.0000
361,64,73,mRECIST,PD
362,64,73,best.average.response,132.8275
363,64,73,slope,88.8718
364,64,73,AUC,564.5112
365,64,73,survival,14.0000
366,65,74,mRECIST,PD
367,65,74,best.average.response,88.2885
368,65,74,slope,88.9823
369,65,74,AUC,1244.5825
370,65,74,survival,36.0000
371,66,75,mRECIST,SD
372,66,75,best.average.response,-15.6148
373,66,75,slope,28.5561
374,66,75,AUC,94.6189
375,66,75,survival,56.0000
376,33,76,mRECIST,PR
377,33,76,best.average.response,-40.9521
378,33,76,slope,-73.5440
379,33,76,AUC,125.1821
380,33,76,survival,52.0000
381,68,77,mRECIST,NA
382,68,77,best.average.response,NA
383,68,77,slope,88.7595
384,68,77,AUC,547.3977
385,68,77,survival,11.0000
386,64,78,mRECIST,PD
387,64,78,best.average.response,168.0972
388,64,78,slope,88.2977
389,64,78,AUC,544.8631
390,64,78,survival,29.0000
391,65,79,mRECIST,PD
392,65,79,best.average.response,36.4174
393,65,79,slope,88.3623
394,65,79,AUC,832.7197
395,65,79,survival,34.0000
396,66,80,mRECIST,CR
397,66,80,best.average.response,-86.6975
398,66,80,slope,-70.4407
399,66,80,AUC,10.1031
400,66,80,survival,57.0000
401,33,81,mRECIST,PR
402,33,81,best.average.response,-27.0414
403,33,81,slope,-55.1240
404,33,81,AUC,88.2998
405,33,81,survival,54.0000
406,68,82,mRECIST,PD
407,68,82,best.average.response,123.7848
408,68,82,slope,88.0331
409,68,82,AUC,517.4537
410,68,82,survival,27.0000
411,64,83,mRECIST,PD
412,64,83,best.average.response,391.3580
413,64,83,slope,88.8255
414,64,83,AUC,368.1029
415,64,83,survival,17.0000
416,65,84,mRECIST,CR
417,65,84,best.average.response,-78.1319
418,65,84,slope,-71.2305
419,65,84,AUC,27.4187
420,65,84,survival,40.0000
421,66,85,mRECIST,PD
422,66,85,best.average.response,52.3162
423,66,85,slope,88.0037
424,66,85,AUC,549.7490
425,66,85,survival,32.0000
426,33,86,mRECIST,SD
427,33,86,best.average.response,19.3439
428,33,86,slope,82.1101
429,33,86,AUC,365.3549
430,33,86,survival,59.0000
431,68,87,mRECIST,PD
432,68,87,best.average.response,30.9323
433,68,87,slope,71.9188
434,68,87,AUC,198.5659
435,68,87,survival,55.0000
436,64,88,mRECIST,PD
437,64,88,best.average.response,32.4363
438,64,88,slope,79.0221
439,64,88,AUC,174.4442
440,64,88,survival,28.0000
441,65,89,mRECIST,SD
442,65,89,best.average.response,2.4441
443,65,89,slope,3.6540
444,65,89,AUC,102.4586
445,65,89,survival,37.0000
446,66,90,mRECIST,SD
447,66,90,best.average.response,-1.4444
448,66,90,slope,4.0321
449,66,90,AUC,91.0423
450,66,90,survival,31.0000
451,33,91,mRECIST,PR
452,33,91,best.average.response,-37.6435
453,33,91,slope,-47.7345
454,33,91,AUC,54.9922
455,33,91,survival,52.0000
456,68,92,mRECIST,SD
457,68,92,best.average.response,10.5440
458,68,92,slope,50.8183
459,68,92,AUC,130.0982
460,68,92,survival,28.0000
461,64,93,mRECIST,PD
462,64,93,best.average.response,44.2866
463,64,93,slope,88.1856
464,64,93,AUC,437.6395
465,64,93,survival,28.0000
466,65,94,mRECIST,CR
467,65,94,best.average.response,-53.2127
468,65,94,slope,-68.0642
469,65,94,AUC,36.2999
470,65,94,survival,52.0000
471,66,95,mRECIST,PR
472,66,95,best.average.response,-55.2745
473,66,95,slope,-52.9373
474,66,95,AUC,108.9869
475,66,95,survival,55.0000
476,33,96,mRECIST,CR
477,33,96,best.average.response,-84.2493
478,33,96,slope,-78.4948
479,33,96,AUC,21.9834
480,33,96,survival,49.0000
481,68,97,mRECIST,SD
482,68,97,best.average.response,5.3027
483,68,97,slope,86.2732
484,68,97,AUC,308.6381
485,68,97,survival,31.0000
486,64,98,mRECIST,PD
487,64,98,best.average.response,54.7088
488,64,98,slope,87.4334
489,64,98,AUC,414.5893
490,64,98,survival,28.0000
491,65,99,mRECIST,CR
492,65,99,best.average.response,-81.8540
493,65,99,slope,-74.7694
494,65,99,AUC,24.0288
495,65,99,survival,52.0000
496,66,100,mRECIST,SD
497,66,100,best.average.response,-12.5868
498,66,100,slope,84.6272
499,66,100,AUC,199.9748
500,66,100,survival,31.0000
501,33,101,mRECIST,CR
502,33,101,best.average.response,-84.9227
503,33,101,slope,-74.6593
504,33,101,AUC,15.0883
505,33,101,survival,52.0000
506,68,102,mRECIST,SD
507,68,102,best.average.response,3.0782
508,68,102,slope,63.7638
509,68,102,AUC,169.2010
510,68,102,survival,30.0000
511,64,103,mRECIST,PD
512,64,103,best.average.response,104.7754
513,64,103,slope,89.0210
514,64,103,AUC,985.4062
515,64,103,survival,28.0000
516,65,104,mRECIST,SD
517,65,104,best.average.response,-18.5622
518,65,104,slope,87.1844
519,65,104,AUC,605.9611
520,65,104,survival,49.0000
521,66,105,mRECIST,SD
522,66,105,best.average.response,6.7551
523,66,105,slope,61.1505
524,66,105,AUC,146.6260
525,66,105,survival,74.0000
526,33,106,mRECIST,PD
527,33,106,best.average.response,20.1067
528,33,106,slope,83.9914
529,33,106,AUC,260.3287
530,33,106,survival,29.0000
531,68,107,mRECIST,CR
532,68,107,best.average.response,-83.9997
533,68,107,slope,-78.3480
534,68,107,AUC,10.7500
535,68,107,survival,28.0000
536,64,108,mRECIST,PD
537,64,108,best.average.response,63.8848
538,64,108,slope,87.2148
539,64,108,AUC,552.2982
540,64,108,survival,35.0000
541,65,109,mRECIST,SD
542,65,109,best.average.response,12.5937
543,65,109,slope,75.6110
544,65,109,AUC,159.8542
545,65,109,survival,21.0000
546,33,110,mRECIST,SD
547,33,110,best.average.response,-6.9739
548,33,110,slope,-28.0923
549,33,110,AUC,88.6785
550,33,110,survival,52.0000
551,68,111,mRECIST,SD
552,68,111,best.average.response,-6.0938
553,68,111,slope,45.5538
554,68,111,AUC,90.9602
555,68,111,survival,22.0000
556,64,112,mRECIST,PD
557,64,112,best.average.response,25.1748
558,64,112,slope,86.6624
559,64,112,AUC,438.2240
560,64,112,survival,42.0000
561,65,113,mRECIST,PD
562,65,113,best.average.response,97.7915
563,65,113,slope,88.5482
564,65,113,AUC,971.0987
565,65,113,survival,38.0000
566,66,114,mRECIST,PD
567,66,114,best.average.response,7.5421
568,66,114,slope,86.2570
569,66,114,AUC,501.8341
570,66,114,survival,42.0000
571,33,115,mRECIST,SD
572,33,115,best.average.response,-6.3368
573,33,115,slope,74.1345
574,33,115,AUC,188.5837
575,33,115,survival,133.0000
576,68,116,mRECIST,PD
577,68,116,best.average.response,61.0409
578,68,116,slope,86.7816
579,68,116,AUC,359.0949
580,68,116,survival,28.0000
581,64,117,mRECIST,PD
582,64,117,best.average.response,170.0413
583,64,117,slope,89.1636
584,64,117,AUC,694.6830
585,64,117,survival,21.0000
586,65,118,mRECIST,PD
587,65,118,best.average.response,124.5831
588,65,118,slope,88.6792
589,65,118,AUC,899.5699
590,65,118,survival,38.0000
591,66,119,mRECIST,CR
592,66,119,best.average.response,-82.9862
593,66,119,slope,-74.6806
594,66,119,AUC,16.3583
595,66,119,survival,45.0000
596,33,120,mRECIST,PR
597,33,120,best.average.response,-61.6818
598,33,120,slope,85.3995
599,33,120,AUC,561.4333
600,33,120,survival,70.0000
601,68,121,mRECIST,PD
602,68,121,best.average.response,160.6505
603,68,121,slope,88.8034
604,68,121,AUC,722.5237
605,68,121,survival,25.0000
606,64,122,mRECIST,PD
607,64,122,best.average.response,68.3728
608,64,122,slope,87.8660
609,64,122,AUC,541.9527
610,64,122,survival,35.0000
611,65,123,mRECIST,SD
612,65,123,best.average.response,8.5708
613,65,123,slope,84.0612
614,65,123,AUC,474.4181
615,65,123,survival,45.0000
616,66,124,mRECIST,CR
617,66,124,best.average.response,-73.9443
618,66,124,slope,-68.6488
619,66,124,AUC,26.2755
620,66,124,survival,222.0000
621,33,125,mRECIST,CR
622,33,125,best.average.response,-67.1812
623,33,125,slope,-74.1611
624,33,125,AUC,48.7322
625,33,125,survival,119.0000
626,68,126,mRECIST,SD
627,68,126,best.average.response,18.9349
628,68,126,slope,79.8700
629,68,126,AUC,158.6138
630,68,126,survival,28.0000
631,64,127,mRECIST,PD
632,64,127,best.average.response,27.8549
633,64,127,slope,85.1094
634,64,127,AUC,346.3125
635,64,127,survival,66.0000
636,65,128,mRECIST,CR
637,65,128,best.average.response,-56.5259
638,65,128,slope,-70.8674
639,65,128,AUC,53.5519
640,65,128,survival,150.0000
641,66,129,mRECIST,CR
642,66,129,best.average.response,-84.4097
643,66,129,slope,-64.6251
644,66,129,AUC,10.2669
645,66,129,survival,218.0000
646,33,130,mRECIST,CR
647,33,130,best.average.response,-85.6095
648,33,130,slope,-77.7444
649,33,130,AUC,21.2282
650,33,130,survival,180.0000
651,68,131,mRECIST,SD
652,68,131,best.average.response,-10.7339
653,68,131,slope,69.3397
654,68,131,AUC,228.0927
655,68,131,survival,74.0000
656,66,132,mRECIST,PR
657,66,132,best.average.response,-41.2387
658,66,132,slope,-51.3034
659,66,132,AUC,60.9399
660,66,132,survival,74.0000
661,33,133,mRECIST,SD
662,33,133,best.average.response,-8.1815
663,33,133,slope,9.6563
664,33,133,AUC,195.0646
665,33,133,survival,98.0000
666,64,134,mRECIST,PD
667,64,134,best.average.response,43.2226
668,64,134,slope,87.4541
669,64,134,AUC,405.4494
670,64,134,survival,29.0000
671,65,135,mRECIST,PD
672,65,135,best.average.response,49.1035
673,65,135,slope,87.0289
674,65,135,AUC,334.3393
675,65,135,survival,28.0000
676,66,136,mRECIST,PD
677,66,136,best.average.response,53.9941
678,66,136,slope,87.1458
679,66,136,AUC,415.3379
680,66,136,survival,32.0000
681,33,137,mRECIST,PR
682,33,137,best.average.response,-73.1302
683,33,137,slope,-82.6603
684,33,137,AUC,45.2832
685,33,137,survival,32.0000
686,68,138,mRECIST,PD
687,68,138,best.average.response,55.7129
688,68,138,slope,88.4440
689,68,138,AUC,745.0166
690,68,138,survival,32.0000
691,64,139,mRECIST,PD
692,64,139,best.average.response,30.8102
693,64,139,slope,77.6002
694,64,139,AUC,218.9656
695,64,139,survival,70.0000
696,65,140,mRECIST,CR
697,65,140,best.average.response,-58.7880
698,65,140,slope,-79.6639
699,65,140,AUC,61.0995
700,65,140,survival,27.0000
701,66,141,mRECIST,CR
702,66,141,best.average.response,-76.5488
703,66,141,slope,-66.7559
704,66,141,AUC,19.9803
705,66,141,survival,90.0000
706,33,142,mRECIST,PR
707,33,142,best.average.response,-33.0492
708,33,142,slope,-25.1728
709,33,142,AUC,81.2836
710,33,142,survival,40.0000
711,68,143,mRECIST,SD
712,68,143,best.average.response,-11.4506
713,68,143,slope,-0.6263
714,68,143,AUC,79.4161
715,68,143,survival,35.0000
716,64,144,mRECIST,SD
717,64,144,best.average.response,2.7778
718,64,144,slope,53.5044
719,64,144,AUC,102.5011
720,64,144,survival,69.0000
721,65,145,mRECIST,PR
722,65,145,best.average.response,-27.9333
723,65,145,slope,-43.2390
724,65,145,AUC,44.0544
725,65,145,survival,31.0000
726,66,146,mRECIST,SD
727,66,146,best.average.response,-15.6612
728,66,146,slope,2.0509
729,66,146,AUC,59.3924
730,66,146,survival,45.0000
731,33,147,mRECIST,SD
732,33,147,best.average.response,0.9935
733,33,147,slope,-42.0940
734,33,147,AUC,51.3157
735,33,147,survival,69.0000
736,68,148,mRECIST,PR
737,68,148,best.average.response,-29.2067
738,68,148,slope,-53.1659
739,68,148,AUC,58.7491
740,68,148,survival,34.0000
741,64,149,mRECIST,PD
742,64,149,best.average.response,22.1154
743,64,149,slope,85.9285
744,64,149,AUC,290.8259
745,64,149,survival,28.0000
746,65,150,mRECIST,CR
747,65,150,best.average.response,-85.9933
748,65,150,slope,-71.7623
749,65,150,AUC,15.1096
750,65,150,survival,92.0000
751,66,151,mRECIST,PD
752,66,151,best.average.response,46.6698
753,66,151,slope,85.5334
754,66,151,AUC,397.2145
755,66,151,survival,52.0000
756,33,152,mRECIST,CR
757,33,152,best.average.response,-82.2811
758,33,152,slope,-66.8786
759,33,152,AUC,15.6674
760,33,152,survival,85.0000
761,68,153,mRECIST,PD
762,68,153,best.average.response,36.6609
763,68,153,slope,74.2580
764,68,153,AUC,173.4732
765,68,153,survival,28.0000
766,64,154,mRECIST,NA
767,64,154,best.average.response,NA
768,64,154,slope,89.1776
769,64,154,AUC,713.7188
770,64,154,survival,13.0000
771,65,155,mRECIST,PD
772,65,155,best.average.response,92.3756
773,65,155,slope,88.3534
774,65,155,AUC,530.0938
775,65,155,survival,28.0000
776,66,156,mRECIST,CR
777,66,156,best.average.response,-85.9877
778,66,156,slope,-81.7127
779,66,156,AUC,38.8681
780,66,156,survival,50.0000
781,33,157,mRECIST,SD
782,33,157,best.average.response,1.6667
783,33,157,slope,76.1431
784,33,157,AUC,314.5692
785,33,157,survival,28.0000
786,68,158,mRECIST,PD
787,68,158,best.average.response,478.5069
788,68,158,slope,89.1989
789,68,158,AUC,1106.6574
790,68,158,survival,28.0000
791,64,159,mRECIST,PD
792,64,159,best.average.response,341.5533
793,64,159,slope,89.3336
794,64,159,AUC,688.0037
795,64,159,survival,17.0000
796,65,160,mRECIST,PD
797,65,160,best.average.response,79.0278
798,65,160,slope,86.0851
799,65,160,AUC,244.3397
800,65,160,survival,23.0000
801,66,161,mRECIST,PD
802,66,161,best.average.response,61.9970
803,66,161,slope,88.4800
804,66,161,AUC,368.0595
805,66,161,survival,21.0000
806,33,162,mRECIST,PD
807,33,162,best.average.response,224.1535
808,33,162,slope,88.9306
809,33,162,AUC,557.5901
810,33,162,survival,17.0000
811,68,163,mRECIST,PD
812,68,163,best.average.response,33.0995
813,68,163,slope,88.3070
814,68,163,AUC,423.6363
815,68,163,survival,25.0000
816,69,164,mRECIST,PR
817,69,164,best.average.response,-23.6748
818,69,164,slope,-67.7998
819,69,164,AUC,144.6607
820,69,164,survival,125.0000
821,70,165,mRECIST,PD
822,70,165,best.average.response,42.5386
823,70,165,slope,86.4109
824,70,165,AUC,440.8044
825,70,165,survival,40.0000
826,71,166,mRECIST,PD
827,71,166,best.average.response,17.7661
828,71,166,slope,81.5393
829,71,166,AUC,190.8314
830,71,166,survival,29.0000
831,71,167,mRECIST,PD
832,71,167,best.average.response,26.0829
833,71,167,slope,84.9475
834,71,167,AUC,309.1787
835,71,167,survival,29.0000
836,71,168,mRECIST,SD
837,71,168,best.average.response,-1.5488
838,71,168,slope,42.9167
839,71,168,AUC,187.0088
840,71,168,survival,33.0000
841,71,169,mRECIST,PR
842,71,169,best.average.response,-36.8882
843,71,169,slope,-42.8976
844,71,169,AUC,158.2194
845,71,169,survival,188.0000
846,72,170,mRECIST,SD
847,72,170,best.average.response,-8.8239
848,72,170,slope,45.8608
849,72,170,AUC,123.8296
850,72,170,survival,43.0000
851,73,171,mRECIST,SD
852,73,171,best.average.response,-10.9717
853,73,171,slope,-35.3311
854,73,171,AUC,104.2111
855,73,171,survival,194.0000
856,69,172,mRECIST,PR
857,69,172,best.average.response,-48.3714
858,69,172,slope,-71.9867
859,69,172,AUC,145.1385
860,69,172,survival,68.0000
861,74,173,mRECIST,PR
862,74,173,best.average.response,-23.8375
863,74,173,slope,-61.2091
864,74,173,AUC,139.5007
865,74,173,survival,216.0000
866,75,174,mRECIST,SD
867,75,174,best.average.response,-0.8804
868,75,174,slope,78.0528
869,75,174,AUC,176.4597
870,75,174,survival,29.0000
871,70,175,mRECIST,SD
872,70,175,best.average.response,13.3433
873,70,175,slope,61.3139
874,70,175,AUC,274.9030
875,70,175,survival,205.0000
876,71,176,mRECIST,SD
877,71,176,best.average.response,-10.8181
878,71,176,slope,-67.2160
879,71,176,AUC,204.3973
880,71,176,survival,161.0000
881,76,177,mRECIST,SD
882,76,177,best.average.response,10.3177
883,76,177,slope,54.2213
884,76,177,AUC,178.0184
885,76,177,survival,48.0000
886,77,178,mRECIST,CR
887,77,178,best.average.response,-64.7697
888,77,178,slope,-74.1750
889,77,178,AUC,37.2340
890,77,178,survival,250.0000
891,72,179,mRECIST,CR
892,72,179,best.average.response,-57.8342
893,72,179,slope,-75.0313
894,72,179,AUC,52.0727
895,72,179,survival,288.0000
896,70,180,mRECIST,SD
897,70,180,best.average.response,-0.3920
898,70,180,slope,80.3318
899,70,180,AUC,371.8262
900,70,180,survival,101.0000
901,76,181,mRECIST,SD
902,76,181,best.average.response,-11.0244
903,76,181,slope,69.8467
904,76,181,AUC,177.7103
905,76,181,survival,31.0000
906,71,182,mRECIST,SD
907,71,182,best.average.response,5.4639
908,71,182,slope,-9.0634
909,71,182,AUC,129.2539
910,71,182,survival,165.0000
911,71,183,mRECIST,SD
912,71,183,best.average.response,-2.1434
913,71,183,slope,-17.7393
914,71,183,AUC,117.5848
915,71,183,survival,213.0000
916,72,184,mRECIST,PR
917,72,184,best.average.response,-34.6157
918,72,184,slope,-57.4888
919,72,184,AUC,59.6711
920,72,184,survival,93.0000
921,72,185,mRECIST,NA
