model_id,model
1,X.1004.BG98
2,X.1004.biib
3,X.1004.BK20
4,X.1004.BY19
5,X.1004.BY19.LE11
6,X.1004.BY19.LJ16
7,X.1004.CG97
8,X.1004.CL57
9,X.1004.HD01
10,X.1004.IN24
11,X.1004.LE11
12,X.1004.LE11.evus
13,X.1004.LF02
14,X.1004.LF27.evus
15,X.1004.LJ16
16,X.1004.LJ16.trab
17,X.1004.LK36
18,X.1004.LL71
19,X.1004.pael
20,X.1004.taen
21,X.1004.trab
22,X.1004.uned
23,X.1008.BG98
24,X.1008.biib
25,X.1008.BK20
26,X.1008.BY19
27,X.1008.BY19.LE11
28,X.1008.BY19.LJ16
29,X.1008.CG97
30,X.1008.CL57
31,X.1008.HD01
32,X.1008.IN24
33,X.1008.LE11
34,X.1008.LE11.evus
35,X.1008.LF02
36,X.1008.LF27.evus
37,X.1008.LJ16
38,X.1008.LJ16.trab
39,X.1008.LK36
40,X.1008.LL71
41,X.1008.pael
42,X.1008.taen
43,X.1008.trab
44,X.1008.uned
45,X.1286.BG98
46,X.1286.biib
47,X.1286.BK20
48,X.1286.BY19
49,X.1286.BY19.LE11
50,X.1286.BY19.LJ16
51,X.1286.CG97
52,X.1286.CL57
53,X.1286.HD01
54,X.1286.IN24
55,X.1286.LE11
56,X.1286.LE11.evus
57,X.1286.LF02
58,X.1286.LF27.evus
59,X.1286.LJ16
60,X.1286.LJ16.trab
61,X.1286.LK36
62,X.1286.LL71
63,X.1286.pael
64,X.1286.taen
65,X.1286.trab
66,X.1286.uned
67,X.1298.BG98
68,X.1298.biib
69,X.1298.BK20
70,X.1298.BY19
71,X.1298.BY19.LE11
72,X.1298.BY19.LJ16
73,X.1298.CG97
74,X.1298.CL57
75,X.1298.HD01
76,X.1298.IN24
77,X.1298.LE11
78,X.1298.LE11.evus
79,X.1298.LF02
80,X.1298.LF27.evus
81,X.1298.LJ16
82,X.1298.LJ16.trab
83,X.1298.LK36
84,X.1298.LL71
85,X.1298.pael
86,X.1298.taen
87,X.1298.trab
88,X.1298.uned
89,X.1349.LF27.evus
90,X.1371.BG98
91,X.1371.biib
92,X.1371.BK20
93,X.1371.BY19
94,X.1371.BY19.LE11
95,X.1371.BY19.LJ16
96,X.1371.CG97
97,X.1371.CL57
98,X.1371.HD01
99,X.1371.IN24
100,X.1371.LE11
101,X.1371.LF02
102,X.1371.LF27.evus
103,X.1371.LJ16
104,X.1371.LJ16.trab
105,X.1371.LK36
106,X.1371.LL71
107,X.1371.pael
108,X.1371.taen
109,X.1371.trab
110,X.1371.uned
111,X.1383.BG98
112,X.1383.biib
113,X.1383.BK20
114,X.1383.BY19
115,X.1383.BY19.LE11
116,X.1383.BY19.LJ16
117,X.1383.CG97
118,X.1383.CL57
119,X.1383.HD01
120,X.1383.IN24
121,X.1383.LE11
122,X.1383.LE11.evus
123,X.1383.LF02
124,X.1383.LF27.evus
125,X.1383.LJ16
126,X.1383.LJ16.trab
127,X.1383.LK36
128,X.1383.LL71
129,X.1383.pael
130,X.1383.taen
131,X.1383.trab
132,X.1383.uned
133,X.1407.BG98
134,X.1407.biib
135,X.1407.BK20
136,X.1407.BY19
137,X.1407.BY19.LE11
138,X.1407.BY19.LJ16
139,X.1407.CG97
140,X.1407.CL57
141,X.1407.HD01
142,X.1407.IN24
143,X.1407.LE11
144,X.1407.LE11.evus
145,X.1407.LF02
146,X.1407.LF27.evus
147,X.1407.LJ16
148,X.1407.LJ16.trab
149,X.1407.LK36
150,X.1407.LL71
151,X.1407.pael
152,X.1407.taen
153,X.1407.trab
154,X.1407.uned
155,X.1468.BG98
156,X.1468.biib
157,X.1468.BK20
158,X.1468.BY19
159,X.1468.BY19.LE11
160,X.1468.BY19.LJ16
161,X.1468.CG97
