id,model_id,sequencing_uid,mDataType
229,1075,14,RNASeq
230,1076,14,RNASeq
231,1077,14,RNASeq
232,1078,14,RNASeq
233,1079,14,RNASeq
234,1099,15,RNASeq
235,1100,15,RNASeq
236,1101,15,RNASeq
237,1102,15,RNASeq
238,1103,15,RNASeq
239,1104,15,RNASeq
240,1105,15,RNASeq
241,1106,15,RNASeq
242,1107,15,RNASeq
243,1108,15,RNASeq
244,1109,15,RNASeq
245,1110,15,RNASeq
246,1111,15,RNASeq
247,1112,15,RNASeq
248,1113,15,RNASeq
249,1114,15,RNASeq
250,1115,15,RNASeq
251,1116,15,RNASeq
252,1117,15,RNASeq
253,1118,15,RNASeq
254,1119,15,RNASeq
255,1120,15,RNASeq
256,1121,16,RNASeq
257,1122,16,RNASeq
258,1123,16,RNASeq
259,1124,16,RNASeq
260,1125,16,RNASeq
261,1126,16,RNASeq
262,1127,16,RNASeq
263,1128,16,RNASeq
264,1129,16,RNASeq
265,1130,16,RNASeq
266,1131,16,RNASeq
267,1132,16,RNASeq
268,1133,16,RNASeq
269,1134,16,RNASeq
270,1135,16,RNASeq
271,1136,16,RNASeq
272,1137,16,RNASeq
273,1138,16,RNASeq
274,1139,16,RNASeq
275,1140,16,RNASeq
276,1141,16,RNASeq
277,1142,16,RNASeq
278,1163,17,RNASeq
279,1164,17,RNASeq
280,1165,17,RNASeq
281,1166,17,RNASeq
282,1167,17,RNASeq
283,1168,17,RNASeq
284,1169,17,RNASeq
285,1170,17,RNASeq
286,1171,17,RNASeq
287,1172,17,RNASeq
288,1173,17,RNASeq
289,1174,17,RNASeq
290,1175,17,RNASeq
291,1176,17,RNASeq
292,1177,17,RNASeq
293,1178,17,RNASeq
294,1179,17,RNASeq
295,1180,17,RNASeq
296,1181,17,RNASeq
297,1182,17,RNASeq
298,1184,18,RNASeq
299,1185,18,RNASeq
300,1186,18,RNASeq
301,1187,18,RNASeq
302,1188,18,RNASeq
303,1189,18,RNASeq
304,1190,18,RNASeq
305,1191,18,RNASeq
306,1192,18,RNASeq
307,1212,19,RNASeq
308,1213,19,RNASeq
309,1214,19,RNASeq
310,1215,19,RNASeq
311,1216,19,RNASeq
312,1217,19,RNASeq
313,1218,19,RNASeq
314,1219,19,RNASeq
315,1220,19,RNASeq
316,1221,19,RNASeq
317,1222,19,RNASeq
318,1223,19,RNASeq
319,1224,19,RNASeq
320,1225,19,RNASeq
321,1226,19,RNASeq
322,1227,19,RNASeq
323,1228,19,RNASeq
324,1229,19,RNASeq
325,1230,19,RNASeq
326,1231,19,RNASeq
327,1232,19,RNASeq
328,1233,19,RNASeq
329,1234,20,RNASeq
330,1235,20,RNASeq
331,1236,20,RNASeq
332,1237,20,RNASeq
333,1238,20,RNASeq
334,1239,20,RNASeq
335,1240,20,RNASeq
336,1241,20,RNASeq
337,1242,20,RNASeq
338,1243,20,RNASeq
339,1244,20,RNASeq
340,1245,20,RNASeq
341,1246,20,RNASeq
342,1247,20,RNASeq
343,1248,20,RNASeq
344,1249,20,RNASeq
345,1250,20,RNASeq
346,1251,20,RNASeq
347,1252,20,RNASeq
348,1253,20,RNASeq
349,1254,20,RNASeq
350,1255,20,RNASeq
351,1257,21,RNASeq
352,1267,22,RNASeq
353,1268,22,RNASeq
354,1269,22,RNASeq
355,1270,22,RNASeq
356,1271,22,RNASeq
357,1272,22,RNASeq
358,1273,22,RNASeq
359,1274,22,RNASeq
360,1275,22,RNASeq
361,1276,22,RNASeq
362,1277,22,RNASeq
363,1278,22,RNASeq
