"","model.id","drug.join.name","time","volume","volume.normal"
"1","X.1156.BG98","BGJ398",0,174.3,1
"2","X.1156.BG98","BGJ398",2,222.3,1.27381631488876
"3","X.1156.BG98","BGJ398",7,371.1,2.12264689104392
"4","X.1156.BG98","BGJ398",10,348.1,1.99144324015973
"5","X.1156.BG98","BGJ398",13,463.8,2.65145464917285
"6","X.1156.BG98","BGJ398",17,604,3.45122646891044
"7","X.1156.BG98","BGJ398",21,918.9,5.24757558471192
"8","X.1156.biib","binimetinib",0,145.9,1
"9","X.1156.biib","binimetinib",4,258.2,1.7644656228727
"10","X.1156.biib","binimetinib",7,259.3,1.77195371000681
"11","X.1156.biib","binimetinib",10,238.6,1.63104152484683
"12","X.1156.biib","binimetinib",14,244.1,1.66848196051736
"13","X.1156.biib","binimetinib",18,342.7,2.33968686181076
"14","X.1156.biib","binimetinib",21,393.9,2.68822328114363
"15","X.1156.biib","binimetinib",24,468.9,3.19877467665078
"16","X.1156.biib","binimetinib",28,502.3,3.42614023144997
"17","X.1156.biib","binimetinib",35,593.3,4.04560925799864
"18","X.1156.biib","binimetinib",40,702.6,4.78965282505106
"19","X.1156.biib","binimetinib",42,748.7,5.10347174948945
"20","X.1156.biib","binimetinib",46,816.5,5.56501021102791
"21","X.1156.BK20","BKM120",0,195.4,1
"22","X.1156.BK20","BKM120",1,230.8,1.18024439918534
"23","X.1156.BK20","BKM120",2,256.5,1.31109979633401
"24","X.1156.BK20","BKM120",7,534.5,2.7265784114053
"25","X.1156.BK20","BKM120",10,534.9,2.7286150712831
"26","X.1156.BK20","BKM120",13,574.7,2.93126272912424
"27","X.1156.BK20","BKM120",17,874.5,4.45773930753564
"28","X.1156.BK20","BKM120",20,1168.5,5.95468431771894
"29","X.1156.BK20.biib","BKM120 + binimetinib",0,153.5,1
"30","X.1156.BK20.biib","BKM120 + binimetinib",2,233.4,1.51715210355987
"31","X.1156.BK20.biib","BKM120 + binimetinib",7,265.6,1.72556634304207
"32","X.1156.BK20.biib","BKM120 + binimetinib",10,227.5,1.4789644012945
"33","X.1156.BK20.biib","BKM120 + binimetinib",13,324.9,2.10938511326861
"34","X.1156.BK20.biib","BKM120 + binimetinib",17,353,2.29126213592233
"35","X.1156.BK20.biib","BKM120 + binimetinib",21,428.4,2.77928802588997
"36","X.1156.BK20.biib","BKM120 + binimetinib",24,526.5,3.41423948220065
"37","X.1156.BK20.biib","BKM120 + binimetinib",27,573.7,3.71974110032362
"38","X.1156.BK20.biib","BKM120 + binimetinib",31,799.8,5.1831715210356
"39","X.1156.BK20.biib","BKM120 + binimetinib",34,1252.4,8.1126213592233
"40","X.1156.BY19","BYL719",0,161.9,1
"41","X.1156.BY19","BYL719",2,212.2,1.30877839165132
"42","X.1156.BY19","BYL719",7,277.3,1.70841006752609
"43","X.1156.BY19","BYL719",10,283,1.74340085942296
"44","X.1156.BY19","BYL719",13,385.6,2.37323511356661
"45","X.1156.BY19","BYL719",17,401.6,2.47145488029466
"46","X.1156.BY19","BYL719",21,382.8,2.3560466543892
"47","X.1156.BY19","BYL719",24,415.4,2.55616942909761
"48","X.1156.BY19","BYL719",27,540.8,3.32596685082873
"49","X.1156.BY19","BYL719",31,600.3,3.69122160834868
"50","X.1156.BY19.LG47","BYL719 + LGH447",0,377.9,1
"51","X.1156.BY19.LG47","BYL719 + LGH447",2,361.1,0.955661124307205
"52","X.1156.BY19.LG47","BYL719 + LGH447",7,476.3,1.2596991290578
