"","model.id","drug.join.name","time","volume","volume.normal"
"1","X.007.BG98","BGJ398",0,202.3,1
"2","X.007.BG98","BGJ398",4,590.3,2.90850959173635
"3","X.007.BG98","BGJ398",7,796.3,3.92179045745204
"4","X.007.BG98","BGJ398",11,1004.5,4.94589276930644
"5","X.007.biib","binimetinib",0,216.3,1
"6","X.007.biib","binimetinib",3,360.2,1.66221813161528
"7","X.007.biib","binimetinib",6,324.5,1.4979291302347
"8","X.007.biib","binimetinib",9,367,1.69351127473539
"9","X.007.biib","binimetinib",13,372.3,1.71790151863783
"10","X.007.biib","binimetinib",16,379.6,1.75149562816383
"11","X.007.biib","binimetinib",23,344.7,1.59088817303267
"12","X.007.biib","binimetinib",27,337.3,1.55683387022549
"13","X.007.biib","binimetinib",30,340.1,1.56971928209848
"14","X.007.BK20","BKM120",0,288.8,1
"15","X.007.BK20","BKM120",4,419.9,1.45238095238095
"16","X.007.BK20","BKM120",7,634.1,2.19151138716356
"17","X.007.BK20","BKM120",11,702.5,2.42753623188406
"18","X.007.BK20","BKM120",14,835,2.88474810213941
"19","X.007.BY19","BYL719",0,274.7,1
"20","X.007.BY19","BYL719",4,788.4,2.86325716358361
"21","X.007.BY19","BYL719",7,1082.4,3.92963365977512
"22","X.007.BY19","BYL719",11,1109,4.02611534276387
"23","X.007.BY19.HS90","BYL719 + HSP990",0,293.3,1
"24","X.007.BY19.HS90","BYL719 + HSP990",3,488.9,1.66462793068298
"25","X.007.BY19.HS90","BYL719 + HSP990",6,261.8,0.892966360856269
"26","X.007.BY19.HS90","BYL719 + HSP990",9,256.1,0.873598369011213
"27","X.007.BY19.HS90","BYL719 + HSP990",13,311.3,1.0611620795107
"28","X.007.BY19.HS90","BYL719 + HSP990",16,301.9,1.02922188243289
"29","X.007.BY19.HS90","BYL719 + HSP990",20,481,1.63778457356439
"30","X.007.BY19.HS90","BYL719 + HSP990",23,491.6,1.67380224260958
"31","X.007.BY19.HS90","BYL719 + HSP990",27,434.6,1.48012232415902
"32","X.007.BY19.HS90","BYL719 + HSP990",30,893.4,3.03907577302073
"33","X.007.BY19.LJ16","BYL719 + LJM716",0,220.1,1
"34","X.007.BY19.LJ16","BYL719 + LJM716",3,338.3,1.53459972862958
"35","X.007.BY19.LJ16","BYL719 + LJM716",9,371.5,1.68475802804161
"36","X.007.BY19.LJ16","BYL719 + LJM716",13,308.1,1.39800995024876
"37","X.007.BY19.LJ16","BYL719 + LJM716",16,338.8,1.53686114880145
"38","X.007.BY19.LJ16","BYL719 + LJM716",20,325.6,1.47715965626413
"39","X.007.BY19.LJ16","BYL719 + LJM716",23,447.1,2.02668475802804
"40","X.007.BY19.LJ16","BYL719 + LJM716",27,366.7,1.66304839439168
"41","X.007.BY19.LJ16","BYL719 + LJM716",30,472.2,2.14020805065581
"42","X.007.CL57","CLR457",0,226.1,1
"43","X.007.CL57","CLR457",3,291.1,1.28621752531924
"44","X.007.CL57","CLR457",6,285.3,1.26067811536768
"45","X.007.CL57","CLR457",9,294.9,1.30295024218406
"46","X.007.CL57","CLR457",13,336.6,1.48656979304271
"47","X.007.CL57","CLR457",16,282.7,1.24922941435491
"48","X.007.CL57","CLR457",20,367.9,1.62439453985029
"49","X.007.CL57","CLR457",23,334.2,1.47600176133862
"50","X.007.CL57","CLR457",27,372.3,1.64376926464113
"51","X.007.CL57","CLR457",30,344.4,1.52091589608102
"52","X.007.CL57","CLR457",34,366.7,1.61911052399824
"53","X.007.CL57","CLR457",37,457.1,2.01717305151915
"54","X.007.evus","everolimus",0,230.4,1
"55","X.007.evus","everolimus",5,353.6,1.5324114088159
"56","X.007.evus","everolimus",8,487.3,2.11019878997407
"57","X.007.evus","everolimus",12,478,2.07000864304235
"58","X.007.evus","everolimus",15,547,2.36819360414866
"59","X.007.evus","everolimus",19,618.9,2.67891097666379
"60","X.007.evus","everolimus",22,731.8,3.16681071737252
"61","X.007.evus","everolimus",26,675.3,2.92264477095938
"62","X.007.evus","everolimus",29,768.8,3.3267070008643
"63","X.007.evus","everolimus",33,865.4,3.74416594641314
"64","X.007.fiab","figitumumab",0,237.1,1
"65","X.007.fiab","figitumumab",3,384.6,1.6194876102478
"66","X.007.fiab","figitumumab",6,529.4,2.22763544729105
"67","X.007.fiab","figitumumab",10,1253.6,5.26921461570769
"68","X.007.HD01","HDM201",0,281.3,1
"69","X.007.HD01","HDM201",4,780.1,2.76691462982643
"70","X.007.HD01","HDM201",7,908.4,3.22139567835636
"71","X.007.HD01","HDM201",11,1211.7,4.2957846262841
"72","X.007.HS90","HSP990",0,256.8,1
"73","X.007.HS90","HSP990",5,179,0.698215671062839
"74","X.007.HS90","HSP990",8,174.2,0.679596586501164
"75","X.007.HS90","HSP990",12,213.6,0.832428238944918
"76","X.007.HS90","HSP990",15,180.1,0.702482544608223
"77","X.007.HS90","HSP990",19,221.5,0.863072148952676
"78","X.007.HS90","HSP990",22,249.6,0.972071373157486
"79","X.007.HS90","HSP990",26,344.3,1.33941039565555
"80","X.007.HS90","HSP990",29,581.1,2.25795190069822
"81","X.007.IN80","INC280",0,300.4,1
"82","X.007.IN80","INC280",3,809.7,2.68978102189781
"83","X.007.IN80","INC280",6,731.4,2.42999336429993
"84","X.007.IN80","INC280",9,968.6,3.21698739216987
"85","X.007.IN80","INC280",13,1726.2,5.73059057730591
"86","X.007.IN80.trab","INC280 + trastuzumab",0,291.9,1
"87","X.007.IN80.trab","INC280 + trastuzumab",3,751,2.56742915670877
"88","X.007.IN80.trab","INC280 + trastuzumab",6,945.4,3.23113690679413
"89","X.007.IN80.trab","INC280 + trastuzumab",9,800,2.73472174803687
"90","X.007.IN80.trab","INC280 + trastuzumab",13,748.8,2.55991806077159
"91","X.007.IN80.trab","INC280 + trastuzumab",16,749.6,2.56264936838511
"92","X.007.IN80.trab","INC280 + trastuzumab",20,805.6,2.75384090133151
"93","X.007.IN80.trab","INC280 + trastuzumab",23,1024.1,3.49982929327415
"94","X.007.IN80.trab","INC280 + trastuzumab",27,1047.1,3.57835438716285
"95","X.007.IN80.trab","INC280 + trastuzumab",30,1662.5,5.67941276886309
"96","X.007.LE11","LEE011",0,274.5,1
"97","X.007.LE11","LEE011",4,876.5,3.18511796733212
"98","X.007.LE11","LEE011",7,1091.3,3.96479128856624
"99","X.007.LE11","LEE011",11,1386.7,5.03702359346642
"100","X.007.LE11.evus","LEE011 + everolimus",0,272.1,1
"101","X.007.LE11.evus","LEE011 + everolimus",3,446,1.63676309044306
"102","X.007.LE11.evus","LEE011 + everolimus",6,459.5,1.68619553277188
"103","X.007.LE11.evus","LEE011 + everolimus",10,352.2,1.29329915781765
"104","X.007.LE11.evus","LEE011 + everolimus",13,269.1,0.989015012815818
"105","X.007.LJ16","LJM716",0,238.7,1
"106","X.007.LJ16","LJM716",3,533.2,2.22861910721736
"107","X.007.LJ16","LJM716",6,802,3.35002085940759
"108","X.007.LJ16","LJM716",9,1041.6,4.34960367125574
"109","X.007.LJ16","LJM716",13,1975.1,8.24405506883605
"110","X.007.LJ16.trab","LJM716 + trastuzumab",0,300.9,1
"111","X.007.LJ16.trab","LJM716 + trastuzumab",3,925.3,3.06823451473998
"112","X.007.LJ16.trab","LJM716 + trastuzumab",6,963.2,3.19377277244121
